eBird English Name,eBird Scientific Name,India,Subcontinent,Mainland India,Western Ghats,Southern Andhra Pradesh,Southern Deccan Plateau,Central India,Western Himalayas,Eastern Himalayas,Himalayas,Assam Plains,Indus Plains,Northern Myanmar Lowlands,Andaman and Nicobar islands
Fulvous Whistling-Duck,Dendrocygna bicolor,,,,,,,,,,,,,,
Lesser Whistling-Duck,Dendrocygna javanica,,,,,,,,,,,,,,
White-headed Duck,Oxyura leucocephala,,,,,,,,,,,,,,
Mute Swan,Cygnus olor,,,,,,,,,,,,,,
Tundra Swan,Cygnus columbianus,,,,,,,,,,,,,,
Whooper Swan,Cygnus cygnus,,,,,,,,,,,,,,
Red-breasted Goose,Branta ruficollis,,,,,,,,,,,,,,
Bar-headed Goose,Anser indicus,,,,,,,,,,,,,,
Graylag Goose,Anser anser,,,,,,,,,,,,,,
Taiga Bean-Goose,Anser fabalis,,,,,,,,,,,,,,
Tundra Bean-Goose,Anser serrirostris,,,,,,,,,,,,,,
Greater White-fronted Goose,Anser albifrons,,,,,,,,,,,,,,
Lesser White-fronted Goose,Anser erythropus,,,,,,,,,,,,,,
Long-tailed Duck,Clangula hyemalis,,,,,,,,,,,,,,
Common Goldeneye,Bucephala clangula,,,,,,,,,,,,,,
Smew,Mergellus albellus,,,,,,,,,,,,,,
Common Merganser,Mergus merganser,,,,,,,,,,,,,,
Red-breasted Merganser,Mergus serrator,,,,,,,,,,,,,,
Common Shelduck,Tadorna tadorna,,,,,,,,,,,,,,
Ruddy Shelduck,Tadorna ferruginea,,,,,,,,,,,,,,
Marbled Teal,Marmaronetta angustirostris,,,,,,,,,,,,,,
White-winged Duck,Asarcornis scutulata,,,,,,,,,,,,,,
Red-crested Pochard,Netta rufina,,,,,,,,,,,,,,
Common Pochard,Aythya ferina,,,,,,,,,,,,,,
Baer's Pochard,Aythya baeri,,,,,,,,,,,,,,
Ferruginous Duck,Aythya nyroca,,,,,,,,,,,,,,
Tufted Duck,Aythya fuligula,,,,,,,,,,,,,,
Greater Scaup,Aythya marila,,,,,,,,,,,,,,
Pink-headed Duck,Rhodonessa caryophyllacea,,,,,,,,,,,,,,
Garganey,Spatula querquedula,,,,,,,,,,,,,,
Northern Shoveler,Spatula clypeata,,,,,,,,,,,,,,
Baikal Teal,Sibirionetta formosa,,,,,,,,,,,,,,
Falcated Duck,Mareca falcata,,,,,,,,,,,,,,
Gadwall,Mareca strepera,,,,,,,,,,,,,,
Eurasian Wigeon,Mareca penelope,,,,,,,,,,,,,,
Eastern Spot-billed Duck,Anas zonorhyncha,,,,,,,,,,,,,,
Indian Spot-billed Duck,Anas poecilorhyncha,,,,,,,,,,,,,,
Mallard,Anas platyrhynchos,,,,,,,,,,,,,,
Andaman Teal,Anas albogularis,1,1,,,,,,,,,,,,1
Northern Pintail,Anas acuta,,,,,,,,,,,,,,
Green-winged Teal,Anas crecca,,,,,,,,,,,,,,
Knob-billed Duck,Sarkidiornis melanotos,,,,,,,,,,,,,,
Mandarin Duck,Aix galericulata,,,,,,,,,,,,,,
Cotton Pygmy-Goose,Nettapus coromandelianus,,,,,,,,,,,,,,
Nicobar Scrubfowl,Megapodius nicobariensis,1,1,,,,,,,,,,,,1
Hill Partridge,Arborophila torqueola,,,,,,,,,,1,,,,
Rufous-throated Partridge,Arborophila rufogularis,,,,,,,,,,,,,,
White-cheeked Partridge,Arborophila atrogularis,,,,,,,,,1,1,,,,
Chestnut-breasted Partridge,Arborophila mandellii,,1,,,,,,,1,1,,,,
Indian Peafowl,Pavo cristatus,,1,,,,,,,,,,,,
Green Peafowl,Pavo muticus,,,,,,,,,,,,,,
Gray Peacock-Pheasant,Polyplectron bicalcaratum,,,,,,,,,,,,,,
Common Quail,Coturnix coturnix,,,,,,,,,,,,,,
Japanese Quail,Coturnix japonica,,,,,,,,,,,,,,
Rain Quail,Coturnix coromandelica,,,,,,,,,,,,,,
Blue-breasted Quail,Synoicus chinensis,,,,,,,,,,,,,,
Himalayan Snowcock,Tetraogallus himalayensis,,,,,,,,,,1,,,,
Tibetan Snowcock,Tetraogallus tibetanus,,,,,,,,,,,,,,
Chukar,Alectoris chukar,,,,,,,,,,,,,,
Snow Partridge,Lerwa lerwa,,,,,,,,,,,,,,
Jungle Bush-Quail,Perdicula asiatica,,1,,,,,,,,,,,,
Rock Bush-Quail,Perdicula argoondah,1,1,1,,,,,,,,,,,
Painted Bush-Quail,Perdicula erythrorhyncha,1,1,1,,,,,,,,,,,
Manipur Bush-Quail,Perdicula manipurensis,1,1,1,,,,,,,,1,,,
Himalayan Quail,Ophrysia superciliosa,1,1,1,,,,,1,,1,,,,
Black Francolin,Francolinus francolinus,,,,,,,,,,,,,,
Painted Francolin,Francolinus pictus,,1,,,,,,,,,,,,
Chinese Francolin,Francolinus pintadeanus,,,,,,,,,,,,,,
Gray Francolin,Francolinus pondicerianus,,,,,,,,,,,,,,
Swamp Francolin,Francolinus gularis,,1,,,,,,,,,,,,
Mountain Bamboo-Partridge,Bambusicola fytchii,,,,,,,,,,,,,,
Red Junglefowl,Gallus gallus,,,,,,,,,,,,,,
Gray Junglefowl,Gallus sonneratii,1,1,1,,,,,,,,,,,
Himalayan Monal,Lophophorus impejanus,,,,,,,,,,1,,,,
Sclater's Monal,Lophophorus sclateri,,,,,,,,,1,1,,,,
Western Tragopan,Tragopan melanocephalus,,1,,,,,,1,,1,,,,
Satyr Tragopan,Tragopan satyra,,1,,,,,,,,1,,,,
Blyth's Tragopan,Tragopan blythii,,,,,,,,,1,1,,,,
Temminck's Tragopan,Tragopan temminckii,,,,,,,,,,,,,,
Hume's Pheasant,Syrmaticus humiae,,,,,,,,,,,,,,
Cheer Pheasant,Catreus wallichii,,1,,,,,,1,,1,,,,
Kalij Pheasant,Lophura leucomelanos,,,,,,,,,,,,,,
Tibetan Partridge,Perdix hodgsoniae,,,,,,,,,,,,,,
Red Spurfowl,Galloperdix spadicea,1,1,1,,,,,,,,,,,
Painted Spurfowl,Galloperdix lunulata,1,1,1,,,,,,,,,,,
Koklass Pheasant,Pucrasia macrolopha,,,,,,,,,,,,,,
Blood Pheasant,Ithaginis cruentus,,,,,,,,,,,,,,
Greater Flamingo,Phoenicopterus roseus,,,,,,,,,,,,,,
Lesser Flamingo,Phoeniconaias minor,,,,,,,,,,,,,,
Little Grebe,Tachybaptus ruficollis,,,,,,,,,,,,,,
Red-necked Grebe,Podiceps grisegena,,,,,,,,,,,,,,
Great Crested Grebe,Podiceps cristatus,,,,,,,,,,,,,,
Horned Grebe,Podiceps auritus,,,,,,,,,,,,,,
Eared Grebe,Podiceps nigricollis,,,,,,,,,,,,,,
Rock Pigeon,Columba livia,,,,,,,,,,,,,,
Hill Pigeon,Columba rupestris,,,,,,,,,,,,,,
Snow Pigeon,Columba leuconota,,,,,,,,,,,,,,
Pale-backed Pigeon,Columba eversmanni,,,,,,,,,,,,,,
Common Wood-Pigeon,Columba palumbus,,,,,,,,,,,,,,
Speckled Wood-Pigeon,Columba hodgsonii,,,,,,,,,,,,,,
Ashy Wood-Pigeon,Columba pulchricollis,,,,,,,,,,,,,,
Nilgiri Wood-Pigeon,Columba elphinstonii,1,1,1,1,,,,,,,,,,
Pale-capped Pigeon,Columba punicea,,,,,,,,,,,,,,
Andaman Wood-Pigeon,Columba palumboides,1,1,,,,,,,,,,,,1
European Turtle-Dove,Streptopelia turtur,,,,,,,,,,,,,,
Oriental Turtle-Dove,Streptopelia orientalis,,,,,,,,,,,,,,
Eurasian Collared-Dove,Streptopelia decaocto,,,,,,,,,,,,,,
Red Collared-Dove,Streptopelia tranquebarica,,,,,,,,,,,,,,
Spotted Dove,Streptopelia chinensis,,,,,,,,,,,,,,
Laughing Dove,Streptopelia senegalensis,,,,,,,,,,,,,,
Barred Cuckoo-Dove,Macropygia unchall,,,,,,,,,,,,,,
Andaman Cuckoo-Dove,Macropygia rufipennis,1,1,,,,,,,,,,,,1
Orange-breasted Pigeon,Treron bicinctus,,,,,,,,,,,,,,
Ashy-headed Green-Pigeon,Treron phayrei,,,,,,,,,,,,,,
Gray-fronted Green-Pigeon,Treron affinis,1,1,1,1,,,,,,,,,,
Andaman Green-Pigeon,Treron chloropterus,1,1,,,,,,,,,,,,1
Thick-billed Pigeon,Treron curvirostra,,,,,,,,,,,,,,
Yellow-footed Pigeon,Treron phoenicopterus,,,,,,,,,,,,,,
Pin-tailed Pigeon,Treron apicauda,,,,,,,,,,,,,,
Wedge-tailed Pigeon,Treron sphenurus,,,,,,,,,,,,,,
Nicobar Pigeon,Caloenas nicobarica,,,,,,,,,,,,,,
Asian Emerald Dove,Chalcophaps indica,,,,,,,,,,,,,,
Namaqua Dove,Oena capensis,,,,,,,,,,,,,,
Green Imperial-Pigeon,Ducula aenea,,,,,,,,,,,,,,
Nicobar Imperial-Pigeon,Ducula nicobarica,1,1,,,,,,,,,,,,1
Mountain Imperial-Pigeon,Ducula badia,,,,,,,,,,,,,,
Pied Imperial-Pigeon,Ducula bicolor,,,,,,,,,,,,,,
Tibetan Sandgrouse,Syrrhaptes tibetanus,,,,,,,,,,,,,,
Pallas's Sandgrouse,Syrrhaptes paradoxus,,,,,,,,,,,,,,
Pin-tailed Sandgrouse,Pterocles alchata,,,,,,,,,,,,,,
Chestnut-bellied Sandgrouse,Pterocles exustus,,,,,,,,,,,,,,
Spotted Sandgrouse,Pterocles senegallus,,,,,,,,,,,,,,
Black-bellied Sandgrouse,Pterocles orientalis,,,,,,,,,,,,,,
Painted Sandgrouse,Pterocles indicus,,1,,,,,,,,,,,,
Red-billed Tropicbird,Phaethon aethereus,,,,,,,,,,,,,,
Red-tailed Tropicbird,Phaethon rubricauda,,,,,,,,,,,,,,
White-tailed Tropicbird,Phaethon lepturus,,,,,,,,,,,,,,
Sri Lanka Frogmouth,Batrachostomus moniliger,,1,,,,,,,,,,,,
Hodgson's Frogmouth,Batrachostomus hodgsoni,,,,,,,,,,,,,,
Great Eared-Nightjar,Lyncornis macrotis,,,,,,,,,,,,,,
Gray Nightjar,Caprimulgus jotaka,,,,,,,,,,,,,,
Jungle Nightjar,Caprimulgus indicus,,1,,,,,,,,,,,,
Eurasian Nightjar,Caprimulgus europaeus,,,,,,,,,,,,,,
Sykes's Nightjar,Caprimulgus mahrattensis,,,,,,,,,,,,,,
Jerdon's Nightjar,Caprimulgus atripennis,,1,,,,,,,,,,,,
Large-tailed Nightjar,Caprimulgus macrurus,,,,,,,,,,,,,,
Andaman Nightjar,Caprimulgus andamanicus,1,1,,,,,,,,,,,,1
Indian Nightjar,Caprimulgus asiaticus,,,,,,,,,,,,,,
Savanna Nightjar,Caprimulgus affinis,,,,,,,,,,,,,,
Crested Treeswift,Hemiprocne coronata,,,,,,,,,,,,,,
White-rumped Needletail,Zoonavena sylvatica,,1,,,,,,,,,,,,
White-throated Needletail,Hirundapus caudacutus,,,,,,,,,,,,,,
Silver-backed Needletail,Hirundapus cochinchinensis,,,,,,,,,,,,,,
Brown-backed Needletail,Hirundapus giganteus,,,,,,,,,,,,,,
Plume-toed Swiftlet,Collocalia affinis,,,,,,,,,,,,,,
Himalayan Swiftlet,Aerodramus brevirostris,,,,,,,,,,,,,,
Indian Swiftlet,Aerodramus unicolor,,1,,,,,,,,,,,,
White-nest Swiftlet,Aerodramus fuciphagus,,,,,,,,,,,,,,
Asian Palm-Swift,Cypsiurus balasiensis,,,,,,,,,,,,,,
Alpine Swift,Apus melba,,,,,,,,,,,,,,
Dark-rumped Swift,Apus acuticauda,,,,,,,,,,,,,,
Pacific Swift,Apus pacificus,,,,,,,,,,,,,,
Blyth's Swift,Apus leuconyx,,,,,,,,,,,,,,
House Swift,Apus nipalensis,,,,,,,,,,,,,,
Little Swift,Apus affinis,,,,,,,,,,,,,,
Common Swift,Apus apus,,,,,,,,,,,,,,
Greater Coucal,Centropus sinensis,,,,,,,,,,,,,,
Andaman Coucal,Centropus andamanensis,,,,,,,,,,,,,,1
Lesser Coucal,Centropus bengalensis,,,,,,,,,,,,,,
Sirkeer Malkoha,Taccocua leschenaultii,,1,,,,,,,,,,,,
Blue-faced Malkoha,Phaenicophaeus viridirostris,,1,,,,,,,,,,,,
Green-billed Malkoha,Phaenicophaeus tristis,,,,,,,,,,,,,,
Pied Cuckoo,Clamator jacobinus,,,,,,,,,,,,,,
Chestnut-winged Cuckoo,Clamator coromandus,,,,,,,,,,,,,,
Asian Koel,Eudynamys scolopaceus,,,,,,,,,,,,,,
Asian Emerald Cuckoo,Chrysococcyx maculatus,,,,,,,,,,,,,,
Violet Cuckoo,Chrysococcyx xanthorhynchus,,,,,,,,,,,,,,
Horsfield's Bronze-Cuckoo,Chrysococcyx basalis,,,,,,,,,,,,,,
Banded Bay Cuckoo,Cacomantis sonneratii,,,,,,,,,,,,,,
Plaintive Cuckoo,Cacomantis merulinus,,,,,,,,,,,,,,
Gray-bellied Cuckoo,Cacomantis passerinus,,1,,,,,,,,,,,,
Fork-tailed Drongo-Cuckoo,Surniculus dicruroides,,,,,,,,,,,,,,
Square-tailed Drongo-Cuckoo,Surniculus lugubris,,,,,,,,,,,,,,
Large Hawk-Cuckoo,Hierococcyx sparverioides,,,,,,,,,,,,,,
Common Hawk-Cuckoo,Hierococcyx varius,,1,,,,,,,,,,,,
Hodgson's Hawk-Cuckoo,Hierococcyx nisicolor,,,,,,,,,,,,,,
Indian Cuckoo,Cuculus micropterus,,,,,,,,,,,,,,
Common Cuckoo,Cuculus canorus,,,,,,,,,,,,,,
Himalayan Cuckoo,Cuculus saturatus,,,,,,,,,,,,,,
Lesser Cuckoo,Cuculus poliocephalus,,,,,,,,,,,,,,
Andaman Crake,Rallina canningi,1,1,,,,,,,,,,,,1
Slaty-legged Crake,Rallina eurizonoides,,,,,,,,,,,,,,
Water Rail,Rallus aquaticus,,,,,,,,,,,,,,
Brown-cheeked Rail,Rallus indicus,,,,,,,,,,,,,,
Slaty-breasted Rail,Lewinia striata,,,,,,,,,,,,,,
Corn Crake,Crex crex,,,,,,,,,,,,,,
Spotted Crake,Porzana porzana,,,,,,,,,,,,,,
Ruddy-breasted Crake,Zapornia fusca,,,,,,,,,,,,,,
Brown Crake,Zapornia akool,,,,,,,,,,,,,,
Little Crake,Zapornia parva,,,,,,,,,,,,,,
Baillon's Crake,Zapornia pusilla,,,,,,,,,,,,,,
Black-tailed Crake,Zapornia bicolor,,,,,,,,,,,,,,
White-breasted Waterhen,Amaurornis phoenicurus,,,,,,,,,,,,,,
White-browed Crake,Amaurornis cinerea,,,,,,,,,,,,,,
Watercock,Gallicrex cinerea,,,,,,,,,,,,,,
Gray-headed Swamphen,Porphyrio poliocephalus,,,,,,,,,,,,,,
Eurasian Moorhen,Gallinula chloropus,,,,,,,,,,,,,,
Eurasian Coot,Fulica atra,,,,,,,,,,,,,,
Masked Finfoot,Heliopais personatus,,,,,,,,,,,,,,
Siberian Crane,Leucogeranus leucogeranus,,,,,,,,,,,,,,
Sarus Crane,Antigone antigone,,,,,,,,,,,,,,
Demoiselle Crane,Anthropoides virgo,,,,,,,,,,,,,,
Common Crane,Grus grus,,,,,,,,,,,,,,
Black-necked Crane,Grus nigricollis,,,,,,,,,,,,,,
Indian Bustard,Ardeotis nigriceps,,1,,,,,,,,,,,,
Little Bustard,Tetrax tetrax,,,,,,,,,,,,,,
Bengal Florican,Houbaropsis bengalensis,,,,,,,,,,,,,,
Lesser Florican,Sypheotides indicus,,1,,,,,,,,,,,,
Macqueen's Bustard,Chlamydotis macqueenii,,,,,,,,,,,,,,
Red-throated Loon,Gavia stellata,,,,,,,,,,,,,,
Arctic Loon,Gavia arctica,,,,,,,,,,,,,,
Wilson's Storm-Petrel,Oceanites oceanicus,,,,,,,,,,,,,,
White-faced Storm-Petrel,Pelagodroma marina,,,,,,,,,,,,,,
Black-bellied Storm-Petrel,Fregetta tropica,,,,,,,,,,,,,,
Swinhoe's Storm-Petrel,Oceanodroma monorhis,,,,,,,,,,,,,,
Barau's Petrel,Pterodroma baraui,,,,,,,,,,,,,,
Wedge-tailed Shearwater,Ardenna pacifica,,,,,,,,,,,,,,
Short-tailed Shearwater,Ardenna tenuirostris,,,,,,,,,,,,,,
Flesh-footed Shearwater,Ardenna carneipes,,,,,,,,,,,,,,
Streaked Shearwater,Calonectris leucomelas,,,,,,,,,,,,,,
Cory's Shearwater,Calonectris diomedea,,,,,,,,,,,,,,
Tropical Shearwater,Puffinus bailloni,,,,,,,,,,,,,,
Persian Shearwater,Puffinus persicus,,,,,,,,,,,,,,
Jouanin's Petrel,Bulweria fallax,,,,,,,,,,,,,,
Greater Adjutant,Leptoptilos dubius,,,,,,,,,,,,,,
Lesser Adjutant,Leptoptilos javanicus,,,,,,,,,,,,,,
Painted Stork,Mycteria leucocephala,,,,,,,,,,,,,,
Asian Openbill,Anastomus oscitans,,,,,,,,,,,,,,
Black Stork,Ciconia nigra,,,,,,,,,,,,,,
Woolly-necked Stork,Ciconia episcopus,,,,,,,,,,,,,,
White Stork,Ciconia ciconia,,,,,,,,,,,,,,
Black-necked Stork,Ephippiorhynchus asiaticus,,,,,,,,,,,,,,
Great White Pelican,Pelecanus onocrotalus,,,,,,,,,,,,,,
Spot-billed Pelican,Pelecanus philippensis,,,,,,,,,,,,,,
Dalmatian Pelican,Pelecanus crispus,,,,,,,,,,,,,,
Great Bittern,Botaurus stellaris,,,,,,,,,,,,,,
Little Bittern,Ixobrychus minutus,,,,,,,,,,,,,,
Yellow Bittern,Ixobrychus sinensis,,,,,,,,,,,,,,
Cinnamon Bittern,Ixobrychus cinnamomeus,,,,,,,,,,,,,,
Black Bittern,Ixobrychus flavicollis,,,,,,,,,,,,,,
Malayan Night-Heron,Gorsachius melanolophus,,,,,,,,,,,,,,
Black-crowned Night-Heron,Nycticorax nycticorax,,,,,,,,,,,,,,
White-eared Night-Heron,Gorsachius magnificus,,,,,,,,,,,,,,
Striated Heron,Butorides striata,,,,,,,,,,,,,,
Indian Pond-Heron,Ardeola grayii,,,,,,,,,,,,,,
Chinese Pond-Heron,Ardeola bacchus,,,,,,,,,,,,,,
Javan Pond-Heron,Ardeola speciosa,,,,,,,,,,,,,,
Cattle Egret,Bubulcus ibis,,,,,,,,,,,,,,
Gray Heron,Ardea cinerea,,,,,,,,,,,,,,
White-bellied Heron,Ardea insignis,,,,,,,,,,,,,,
Goliath Heron,Ardea goliath,,,,,,,,,,,,,,
Purple Heron,Ardea purpurea,,,,,,,,,,,,,,
Great Egret,Ardea alba,,,,,,,,,,,,,,
Intermediate Egret,Ardea intermedia,,,,,,,,,,,,,,
Little Egret,Egretta garzetta,,,,,,,,,,,,,,
Western Reef-Heron,Egretta gularis,,,,,,,,,,,,,,
Pacific Reef-Heron,Egretta sacra,,,,,,,,,,,,,,
Chinese Egret,Egretta eulophotes,,,,,,,,,,,,,,
Black-headed Ibis,Threskiornis melanocephalus,,,,,,,,,,,,,,
Eurasian Spoonbill,Platalea leucorodia,,,,,,,,,,,,,,
Red-naped Ibis,Pseudibis papillosa,,1,,,,,,,,,,,,
Glossy Ibis,Plegadis falcinellus,,,,,,,,,,,,,,
Lesser Frigatebird,Fregata ariel,,,,,,,,,,,,,,
Great Frigatebird,Fregata minor,,,,,,,,,,,,,,
Christmas Island Frigatebird,Fregata andrewsi,,,,,,,,,,,,,,
Red-footed Booby,Sula sula,,,,,,,,,,,,,,
Brown Booby,Sula leucogaster,,,,,,,,,,,,,,
Masked Booby,Sula dactylatra,,,,,,,,,,,,,,
Little Cormorant,Microcarbo niger,,,,,,,,,,,,,,
Great Cormorant,Phalacrocorax carbo,,,,,,,,,,,,,,
Indian Cormorant,Phalacrocorax fuscicollis,,,,,,,,,,,,,,
Oriental Darter,Anhinga melanogaster,,,,,,,,,,,,,,
Indian Thick-knee,Burhinus indicus,,,,,,,,,,,,,,
Great Thick-knee,Esacus recurvirostris,,,,,,,,,,,,,,
Beach Thick-knee,Esacus magnirostris,,,,,,,,,,,,,,
Eurasian Oystercatcher,Haematopus ostralegus,,,,,,,,,,,,,,
Ibisbill,Ibidorhyncha struthersii,,,,,,,,,,,,,,
Pied Avocet,Recurvirostra avosetta,,,,,,,,,,,,,,
Black-winged Stilt,Himantopus himantopus,,,,,,,,,,,,,,
Black-bellied Plover,Pluvialis squatarola,,,,,,,,,,,,,,
European Golden-Plover,Pluvialis apricaria,,,,,,,,,,,,,,
Pacific Golden-Plover,Pluvialis fulva,,,,,,,,,,,,,,
Common Ringed Plover,Charadrius hiaticula,,,,,,,,,,,,,,
Long-billed Plover,Charadrius placidus,,,,,,,,,,,,,,
Little Ringed Plover,Charadrius dubius,,,,,,,,,,,,,,
Kentish Plover,Charadrius alexandrinus,,,,,,,,,,,,,,
Lesser Sand-Plover,Charadrius mongolus,,,,,,,,,,,,,,
Greater Sand-Plover,Charadrius leschenaultii,,,,,,,,,,,,,,
Caspian Plover,Charadrius asiaticus,,,,,,,,,,,,,,
Oriental Plover,Charadrius veredus,,,,,,,,,,,,,,
Northern Lapwing,Vanellus vanellus,,,,,,,,,,,,,,
River Lapwing,Vanellus duvaucelii,,,,,,,,,,,,,,
Yellow-wattled Lapwing,Vanellus malabaricus,,1,,,,,,,,,,,,
Gray-headed Lapwing,Vanellus cinereus,,,,,,,,,,,,,,
Red-wattled Lapwing,Vanellus indicus,,,,,,,,,,,,,,
Sociable Lapwing,Vanellus gregarius,,,,,,,,,,,,,,
White-tailed Lapwing,Vanellus leucurus,,,,,,,,,,,,,,
Greater Painted-Snipe,Rostratula benghalensis,,,,,,,,,,,,,,
Pheasant-tailed Jacana,Hydrophasianus chirurgus,,,,,,,,,,,,,,
Bronze-winged Jacana,Metopidius indicus,,,,,,,,,,,,,,
Whimbrel,Numenius phaeopus,,,,,,,,,,,,,,
Eurasian Curlew,Numenius arquata,,,,,,,,,,,,,,
Bar-tailed Godwit,Limosa lapponica,,,,,,,,,,,,,,
Black-tailed Godwit,Limosa limosa,,,,,,,,,,,,,,
Ruddy Turnstone,Arenaria interpres,,,,,,,,,,,,,,
Great Knot,Calidris tenuirostris,,,,,,,,,,,,,,
Red Knot,Calidris canutus,,,,,,,,,,,,,,
Ruff,Calidris pugnax,,,,,,,,,,,,,,
Broad-billed Sandpiper,Calidris falcinellus,,,,,,,,,,,,,,
Sharp-tailed Sandpiper,Calidris acuminata,,,,,,,,,,,,,,
Curlew Sandpiper,Calidris ferruginea,,,,,,,,,,,,,,
Temminck's Stint,Calidris temminckii,,,,,,,,,,,,,,
Long-toed Stint,Calidris subminuta,,,,,,,,,,,,,,
Spoon-billed Sandpiper,Calidris pygmea,,,,,,,,,,,,,,
Red-necked Stint,Calidris ruficollis,,,,,,,,,,,,,,
Sanderling,Calidris alba,,,,,,,,,,,,,,
Dunlin,Calidris alpina,,,,,,,,,,,,,,
Little Stint,Calidris minuta,,,,,,,,,,,,,,
Buff-breasted Sandpiper,Calidris subruficollis,,,,,,,,,,,,,,
Pectoral Sandpiper,Calidris melanotos,,,,,,,,,,,,,,
Asian Dowitcher,Limnodromus semipalmatus,,,,,,,,,,,,,,
Long-billed Dowitcher,Limnodromus scolopaceus,,,,,,,,,,,,,,
Eurasian Woodcock,Scolopax rusticola,,,,,,,,,,,,,,
Solitary Snipe,Gallinago solitaria,,,,,,,,,,,,,,
Wood Snipe,Gallinago nemoricola,,,,,,,,,,,,,,
Pin-tailed Snipe,Gallinago stenura,,,,,,,,,,,,,,
Swinhoe's Snipe,Gallinago megala,,,,,,,,,,,,,,
Great Snipe,Gallinago media,,,,,,,,,,,,,,
Common Snipe,Gallinago gallinago,,,,,,,,,,,,,,
Jack Snipe,Lymnocryptes minimus,,,,,,,,,,,,,,
Terek Sandpiper,Xenus cinereus,,,,,,,,,,,,,,
