eBird English Name,eBird Scientific Name,India,Subcontinent,Mainland India,Western Ghats,Southern Andhra Pradesh,Southern Deccan Plateau,Central India,Western Himalayas,Eastern Himalayas,Himalayas,Assam Plains,Indus Plains,Northern Myanmar Lowlands,Andaman and Nicobar islands
Common Sandpiper,Actitis hypoleucos,,,,,,,,,,,,,,
Green Sandpiper,Tringa ochropus,,,,,,,,,,,,,,
Gray-tailed Tattler,Tringa brevipes,,,,,,,,,,,,,,
Spotted Redshank,Tringa erythropus,,,,,,,,,,,,,,
Common Greenshank,Tringa nebularia,,,,,,,,,,,,,,
Common Redshank,Tringa totanus,,,,,,,,,,,,,,
Wood Sandpiper,Tringa glareola,,,,,,,,,,,,,,
Marsh Sandpiper,Tringa stagnatilis,,,,,,,,,,,,,,
Red-necked Phalarope,Phalaropus lobatus,,,,,,,,,,,,,,
Red Phalarope,Phalaropus fulicarius,,,,,,,,,,,,,,
Small Buttonquail,Turnix sylvaticus,,,,,,,,,,,,,,
Yellow-legged Buttonquail,Turnix tanki,,,,,,,,,,,,,,
Barred Buttonquail,Turnix suscitator,,,,,,,,,,,,,,
Crab-Plover,Dromas ardeola,,,,,,,,,,,,,,
Jerdon's Courser,Rhinoptilus bitorquatus,1,1,1,,1,,,,,,,,,
Cream-colored Courser,Cursorius cursor,,,,,,,,,,,,,,
Indian Courser,Cursorius coromandelicus,,1,,,,,,,,,,,,
Collared Pratincole,Glareola pratincola,,,,,,,,,,,,,,
Oriental Pratincole,Glareola maldivarum,,,,,,,,,,,,,,
Small Pratincole,Glareola lactea,,,,,,,,,,,,,,
Long-tailed Jaeger,Stercorarius longicaudus,,,,,,,,,,,,,,
Parasitic Jaeger,Stercorarius parasiticus,,,,,,,,,,,,,,
Pomarine Jaeger,Stercorarius pomarinus,,,,,,,,,,,,,,
South Polar Skua,Stercorarius maccormicki,,,,,,,,,,,,,,
Brown Skua,Stercorarius antarcticus,,,,,,,,,,,,,,
Brown Noddy,Anous stolidus,,,,,,,,,,,,,,
Lesser Noddy,Anous tenuirostris,,,,,,,,,,,,,,
Black Noddy,Anous minutus,,,,,,,,,,,,,,
White Tern,Gygis alba,,,,,,,,,,,,,,
Indian Skimmer,Rynchops albicollis,,,,,,,,,,,,,,
Black-legged Kittiwake,Rissa tridactyla,,,,,,,,,,,,,,
Sabine's Gull,Xema sabini,,,,,,,,,,,,,,
Slender-billed Gull,Chroicocephalus genei,,,,,,,,,,,,,,
Brown-headed Gull,Chroicocephalus brunnicephalus,,,,,,,,,,,,,,
Black-headed Gull,Chroicocephalus ridibundus,,,,,,,,,,,,,,
Little Gull,Hydrocoloeus minutus,,,,,,,,,,,,,,
Franklin's Gull,Leucophaeus pipixcan,,,,,,,,,,,,,,
White-eyed Gull,Ichthyaetus leucophthalmus,,,,,,,,,,,,,,
Sooty Gull,Ichthyaetus hemprichii,,,,,,,,,,,,,,
Pallas's Gull,Ichthyaetus ichthyaetus,,,,,,,,,,,,,,
Mew Gull,Larus canus,,,,,,,,,,,,,,
Lesser Black-backed Gull,Larus fuscus,,,,,,,,,,,,,,
Caspian Gull,Larus cachinnans,,,,,,,,,,,,,,
Herring Gull,Larus argentatus,,,,,,,,,,,,,,
Sooty Tern,Onychoprion fuscatus,,,,,,,,,,,,,,
Bridled Tern,Onychoprion anaethetus,,,,,,,,,,,,,,
Little Tern,Sternula albifrons,,,,,,,,,,,,,,
Saunders's Tern,Sternula saundersi,,,,,,,,,,,,,,
Gull-billed Tern,Gelochelidon nilotica,,,,,,,,,,,,,,
Caspian Tern,Hydroprogne caspia,,,,,,,,,,,,,,
Whiskered Tern,Chlidonias hybrida,,,,,,,,,,,,,,
White-winged Tern,Chlidonias leucopterus,,,,,,,,,,,,,,
Black Tern,Chlidonias niger,,,,,,,,,,,,,,
River Tern,Sterna aurantia,,,,,,,,,,,,,,
Roseate Tern,Sterna dougallii,,,,,,,,,,,,,,
Black-naped Tern,Sterna sumatrana,,,,,,,,,,,,,,
Common Tern,Sterna hirundo,,,,,,,,,,,,,,
White-cheeked Tern,Sterna repressa,,,,,,,,,,,,,,
Arctic Tern,Sterna paradisaea,,,,,,,,,,,,,,
Black-bellied Tern,Sterna acuticauda,,,,,,,,,,,,,,
Lesser Crested Tern,Thalasseus bengalensis,,,,,,,,,,,,,,
Sandwich Tern,Thalasseus sandvicensis,,,,,,,,,,,,,,
Great Crested Tern,Thalasseus bergii,,,,,,,,,,,,,,
Osprey,Pandion haliaetus,,,,,,,,,,,,,,
Black-winged Kite,Elanus caeruleus,,,,,,,,,,,,,,
Oriental Honey-buzzard,Pernis ptilorhynchus,,,,,,,,,,,,,,
Jerdon's Baza,Aviceda jerdoni,,,,,,,,,,,,,,
Black Baza,Aviceda leuphotes,,,,,,,,,,,,,,
Bearded Vulture,Gypaetus barbatus,,,,,,,,,,,,,,
Egyptian Vulture,Neophron percnopterus,,,,,,,,,,,,,,
Crested Serpent-Eagle,Spilornis cheela,,,,,,,,,,,,,,
Nicobar Serpent-Eagle,Spilornis klossi,1,1,,,,,,,,,,,,1
Andaman Serpent-Eagle,Spilornis elgini,1,1,,,,,,,,,,,,1
Short-toed Snake-Eagle,Circaetus gallicus,,,,,,,,,,,,,,
Red-headed Vulture,Sarcogyps calvus,,,,,,,,,,,,,,
Himalayan Griffon,Gyps himalayensis,,,,,,,,,,,,,,
White-rumped Vulture,Gyps bengalensis,,,,,,,,,,,,,,
Indian Vulture,Gyps indicus,,1,,,,,,,,,,,,
Slender-billed Vulture,Gyps tenuirostris,,,,,,,,,,,,,,
Eurasian Griffon,Gyps fulvus,,,,,,,,,,,,,,
Cinereous Vulture,Aegypius monachus,,,,,,,,,,,,,,
Mountain Hawk-Eagle,Nisaetus nipalensis,,,,,,,,,,,,,,
Legge's Hawk-Eagle,Nisaetus kelaarti,,1,,,,,,,,,,,,
Changeable Hawk-Eagle,Nisaetus limnaeetus,,,,,,,,,,,,,,
Crested Hawk-Eagle,Nisaetus cirrhatus,,,,,,,,,,,,,,
Rufous-bellied Eagle,Lophotriorchis kienerii,,,,,,,,,,,,,,
Black Eagle,Ictinaetus malaiensis,,,,,,,,,,,,,,
Indian Spotted Eagle,Clanga hastata,,,,,,,,,,,,,,
Greater Spotted Eagle,Clanga clanga,,,,,,,,,,,,,,
Tawny Eagle,Aquila rapax,,,,,,,,,,,,,,
Steppe Eagle,Aquila nipalensis,,,,,,,,,,,,,,
Imperial Eagle,Aquila heliaca,,,,,,,,,,,,,,
Golden Eagle,Aquila chrysaetos,,,,,,,,,,,,,,
Bonelli's Eagle,Aquila fasciata,,,,,,,,,,,,,,
Booted Eagle,Hieraaetus pennatus,,,,,,,,,,,,,,
Eurasian Marsh-Harrier,Circus aeruginosus,,,,,,,,,,,,,,
Eastern Marsh-Harrier,Circus spilonotus,,,,,,,,,,,,,,
Hen Harrier,Circus cyaneus,,,,,,,,,,,,,,
Pallid Harrier,Circus macrourus,,,,,,,,,,,,,,
Pied Harrier,Circus melanoleucos,,,,,,,,,,,,,,
Montagu's Harrier,Circus pygargus,,,,,,,,,,,,,,
Crested Goshawk,Accipiter trivirgatus,,,,,,,,,,,,,,
Shikra,Accipiter badius,,,,,,,,,,,,,,
Nicobar Sparrowhawk,Accipiter butleri,1,1,,,,,,,,,,,,1
Chinese Sparrowhawk,Accipiter soloensis,,,,,,,,,,,,,,
Japanese Sparrowhawk,Accipiter gularis,,,,,,,,,,,,,,
Besra,Accipiter virgatus,,,,,,,,,,,,,,
Eurasian Sparrowhawk,Accipiter nisus,,,,,,,,,,,,,,
Northern Goshawk,Accipiter gentilis,,,,,,,,,,,,,,
White-bellied Sea-Eagle,Haliaeetus leucogaster,,,,,,,,,,,,,,
Pallas's Fish-Eagle,Haliaeetus leucoryphus,,,,,,,,,,,,,,
White-tailed Eagle,Haliaeetus albicilla,,,,,,,,,,,,,,
Lesser Fish-Eagle,Haliaeetus humilis,,,,,,,,,,,,,,
Gray-headed Fish-Eagle,Haliaeetus ichthyaetus,,,,,,,,,,,,,,
Brahminy Kite,Haliastur indus,,,,,,,,,,,,,,
Red Kite,Milvus milvus,,,,,,,,,,,,,,
Black Kite,Milvus migrans,,,,,,,,,,,,,,
White-eyed Buzzard,Butastur teesa,,,,,,,,,,,,,,
Gray-faced Buzzard,Butastur indicus,,,,,,,,,,,,,,
Common Buzzard,Buteo buteo,,,,,,,,,,,,,,
Himalayan Buzzard,Buteo refectus,,,,,,,,,,,,,,
Long-legged Buzzard,Buteo rufinus,,,,,,,,,,,,,,
Upland Buzzard,Buteo hemilasius,,,,,,,,,,,,,,
Oriental Bay-Owl,Phodilus badius,,,,,,,,,,,,,,
Sri Lanka Bay-Owl,Phodilus assimilis,,1,,,,,,,,,,,,
Australasian Grass-Owl,Tyto longimembris,,,,,,,,,,,,,,
Andaman Masked-Owl,Tyto deroepstorffi,1,1,,,,,,,,,,,,1
Barn Owl,Tyto alba,,,,,,,,,,,,,,
Brown Boobook,Ninox scutulata,,,,,,,,,,,,,,
Hume's Boobook,Ninox obscura,1,1,,,,,,,,,,,,1
Andaman Boobook,Ninox affinis,1,1,,,,,,,,,,,,1
Collared Owlet,Glaucidium brodiei,,,,,,,,,,,,,,
Asian Barred Owlet,Glaucidium cuculoides,,,,,,,,,,,,,,
Jungle Owlet,Glaucidium radiatum,,1,,,,,,,,,,,,
Spotted Owlet,Athene brama,,,,,,,,,,,,,,
Little Owl,Athene noctua,,,,,,,,,,,,,,
Forest Owlet,Athene blewitti,1,1,1,,,,1,,,,,,,
Boreal Owl,Aegolius funereus,,,,,,,,,,,,,,
Andaman Scops-Owl,Otus balli,1,1,,,,,,,,,,,,1
Mountain Scops-Owl,Otus spilocephalus,,,,,,,,,,,,,,
Eurasian Scops-Owl,Otus scops,,,,,,,,,,,,,,
Pallid Scops-Owl,Otus brucei,,,,,,,,,,,,,,
Oriental Scops-Owl,Otus sunia,,,,,,,,,,,,,,
Nicobar Scops-Owl,Otus alius,1,1,,,,,,,,,,,,1
Indian Scops-Owl,Otus bakkamoena,,1,,,,,,,,,,,,
Collared Scops-Owl,Otus lettia,,,,,,,,,,,,,,
Long-eared Owl,Asio otus,,,,,,,,,,,,,,
Short-eared Owl,Asio flammeus,,,,,,,,,,,,,,
Mottled Wood-Owl,Strix ocellata,,1,1,,,,,,,,,,,
Brown Wood-Owl,Strix leptogrammica,,,,,,,,,,,,,,
Tawny Owl,Strix aluco,,,,,,,,,,,,,,
Himalayan Owl,Strix nivicolum,,,,,,,,,,,,,,
Eurasian Eagle-Owl,Bubo bubo,,,,,,,,,,,,,,
Rock Eagle-Owl,Bubo bengalensis,,1,,,,,,,,,,,,
Spot-bellied Eagle-Owl,Bubo nipalensis,,,,,,,,,,,,,,
Dusky Eagle-Owl,Bubo coromandus,,,,,,,,,,,,,,
Brown Fish-Owl,Ketupa zeylonensis,,,,,,,,,,,,,,
Tawny Fish-Owl,Ketupa flavipes,,,,,,,,,,,,,,
Buffy Fish-Owl,Ketupa ketupu,,,,,,,,,,,,,,
Malabar Trogon,Harpactes fasciatus,,1,,,,,,,,,,,,
Red-headed Trogon,Harpactes erythrocephalus,,,,,,,,,,,,,,
Ward's Trogon,Harpactes wardi,,,,,,,,,1,1,,,,
Great Hornbill,Buceros bicornis,,,,,,,,,,,,,,
Malabar Pied-Hornbill,Anthracoceros coronatus,,1,,,,,,,,,,,,
Oriental Pied-Hornbill,Anthracoceros albirostris,,,,,,,,,,,,,,
Brown Hornbill,Anorrhinus austeni,,,,,,,,,,,,,,
Malabar Gray Hornbill,Ocyceros griseus,1,1,1,1,,,,,,,,,,
Indian Gray Hornbill,Ocyceros birostris,,1,,,,,,,,,,,,
Rufous-necked Hornbill,Aceros nipalensis,,,,,,,,,,,,,,
Narcondam Hornbill,Rhyticeros narcondami,1,1,,,,,,,,,,,,1
Wreathed Hornbill,Rhyticeros undulatus,,,,,,,,,,,,,,
Eurasian Hoopoe,Upupa epops,,,,,,,,,,,,,,
Yellow-rumped Honeyguide,Indicator xanthonotus,,,,,,,,,,1,,,,
Eurasian Wryneck,Jynx torquilla,,,,,,,,,,,,,,
White-browed Piculet,Sasia ochracea,,,,,,,,,,,,,,
Speckled Piculet,Picumnus innominatus,,,,,,,,,,,,,,
Heart-spotted Woodpecker,Hemicircus canente,,,,,,,,,,,,,,
Himalayan Flameback,Dinopium shorii,,,,,,,,,,1,,,,
Common Flameback,Dinopium javanense,,,,,,,,,,,,,,
Black-rumped Flameback,Dinopium benghalense,,1,,,,,,,,,,,,
Pale-headed Woodpecker,Gecinulus grantia,,,,,,,,,,,,,,
Rufous Woodpecker,Micropternus brachyurus,,,,,,,,,,,,,,
Greater Yellownape,Chrysophlegma flavinucha,,,,,,,,,,,,,,
Lesser Yellownape,Picus chlorolophus,,,,,,,,,,,,,,
Streak-throated Woodpecker,Picus xanthopygaeus,,,,,,,,,,,,,,
Gray-headed Woodpecker,Picus canus,,,,,,,,,,,,,,
Scaly-bellied Woodpecker,Picus squamatus,,,,,,,,,,1,,,,
Great Slaty Woodpecker,Mulleripicus pulverulentus,,,,,,,,,,,,,,
White-bellied Woodpecker,Dryocopus javensis,,,,,,,,,,,,,,
Andaman Woodpecker,Dryocopus hodgei,1,1,,,,,,,,,,,,1
Bay Woodpecker,Blythipicus pyrrhotis,,,,,,,,,,,,,,
Greater Flameback,Chrysocolaptes guttacristatus,,,,,,,,,,,,,,
White-naped Woodpecker,Chrysocolaptes festivus,,1,,,,,,,,,,,,
Brown-capped Woodpecker,Yungipicus nanus,,1,,,,,,,,,,,,
Gray-capped Woodpecker,Yungipicus canicapillus,,,,,,,,,,,,,,
Fulvous-breasted Woodpecker,Dendrocopos macei,,,,,,,,,,,,,,
Freckle-breasted Woodpecker,Dendrocopos analis,,,,,,,,,,,,,,
Stripe-breasted Woodpecker,Dendrocopos atratus,,,,,,,,,,,,,,
Brown-fronted Woodpecker,Dendrocoptes auriceps,,,,,,,,,,1,,,,
Yellow-crowned Woodpecker,Leiopicus mahrattensis,,,,,,,,,,,,,,
Crimson-breasted Woodpecker,Dryobates cathpharius,,,,,,,,,,,,,,
Darjeeling Woodpecker,Dendrocopos darjellensis,,,,,,,,,,,,,,
Himalayan Woodpecker,Dendrocopos himalayensis,,,,,,,,,,1,,,,
Sind Woodpecker,Dendrocopos assimilis,,,,,,,,,,,,,,
Great Spotted Woodpecker,Dendrocopos major,,,,,,,,,,,,,,
Rufous-bellied Woodpecker,Dendrocopos hyperythrus,,,,,,,,,,,,,,
Great Barbet,Psilopogon virens,,,,,,,,,,,,,,
Brown-headed Barbet,Psilopogon zeylanicus,,1,,,,,,,,,,,,
Lineated Barbet,Psilopogon lineatus,,,,,,,,,,,,,,
White-cheeked Barbet,Psilopogon viridis,1,1,1,,,,,,,,,,,
Golden-throated Barbet,Psilopogon franklinii,,,,,,,,,,,,,,
Blue-throated Barbet,Psilopogon asiaticus,,,,,,,,,,,,,,
Blue-eared Barbet,Psilopogon duvaucelii,,,,,,,,,,,,,,
Malabar Barbet,Psilopogon malabaricus,1,1,1,1,,,,,,,,,,
Coppersmith Barbet,Psilopogon haemacephalus,,,,,,,,,,,,,,
Blue-bearded Bee-eater,Nyctyornis athertoni,,,,,,,,,,,,,,
Green Bee-eater,Merops orientalis,,,,,,,,,,,,,,
Chestnut-headed Bee-eater,Merops leschenaulti,,,,,,,,,,,,,,
Blue-throated Bee-eater,Merops viridis,,,,,,,,,,,,,,
Blue-tailed Bee-eater,Merops philippinus,,,,,,,,,,,,,,
Blue-cheeked Bee-eater,Merops persicus,,,,,,,,,,,,,,
European Bee-eater,Merops apiaster,,,,,,,,,,,,,,
Indian Roller,Coracias benghalensis,,,,,,,,,,,,,,
European Roller,Coracias garrulus,,,,,,,,,,,,,,
Dollarbird,Eurystomus orientalis,,,,,,,,,,,,,,
Black-backed Dwarf-Kingfisher,Ceyx erithaca,,,,,,,,,,,,,,
Rufous-backed Dwarf-Kingfisher,Ceyx rufidorsa,,,,,,,,,,,,,,
Blue-eared Kingfisher,Alcedo meninting,,,,,,,,,,,,,,
Blyth's Kingfisher,Alcedo hercules,,,,,,,,,,,,,,
Common Kingfisher,Alcedo atthis,,,,,,,,,,,,,,
Crested Kingfisher,Megaceryle lugubris,,,,,,,,,,,,,,
Pied Kingfisher,Ceryle rudis,,,,,,,,,,,,,,
Stork-billed Kingfisher,Pelargopsis capensis,,,,,,,,,,,,,,
Brown-winged Kingfisher,Pelargopsis amauroptera,,,,,,,,,,,,,,
Ruddy Kingfisher,Halcyon coromanda,,,,,,,,,,,,,,
White-throated Kingfisher,Halcyon smyrnensis,,,,,,,,,,,,,,
Black-capped Kingfisher,Halcyon pileata,,,,,,,,,,,,,,
Collared Kingfisher,Todiramphus chloris,,,,,,,,,,,,,,
Collared Falconet,Microhierax caerulescens,,,,,,,,,,,,,,
Pied Falconet,Microhierax melanoleucos,,,,,,,,,,,,,,
Lesser Kestrel,Falco naumanni,,,,,,,,,,,,,,
Eurasian Kestrel,Falco tinnunculus,,,,,,,,,,,,,,
Red-necked Falcon,Falco chicquera,,,,,,,,,,,,,,
Red-footed Falcon,Falco vespertinus,,,,,,,,,,,,,,
Amur Falcon,Falco amurensis,,,,,,,,,,,,,,
Merlin,Falco columbarius,,,,,,,,,,,,,,
Eurasian Hobby,Falco subbuteo,,,,,,,,,,,,,,
Oriental Hobby,Falco severus,,,,,,,,,,,,,,
Laggar Falcon,Falco jugger,,,,,,,,,,,,,,
Saker Falcon,Falco cherrug,,,,,,,,,,,,,,
Peregrine Falcon,Falco peregrinus,,,,,,,,,,,,,,
Gray-headed Parakeet,Psittacula finschii,,,,,,,,,,,,,,
Slaty-headed Parakeet,Psittacula himalayana,,1,,,,,,,,1,,,,
Blossom-headed Parakeet,Psittacula roseata,,,,,,,,,,,,,,
Plum-headed Parakeet,Psittacula cyanocephala,,1,,,,,,,,,,,,
Red-breasted Parakeet,Psittacula alexandri,,,,,,,,,,,,,,
Derbyan Parakeet,Psittacula derbiana,,,,,,,,,,,,,,
Long-tailed Parakeet,Psittacula longicauda,1,1,,,,,,,,,,,,1
Malabar Parakeet,Psittacula columboides,1,1,1,1,,,,,,,,,,
Alexandrine Parakeet,Psittacula eupatria,,,,,,,,,,,,,,
Rose-ringed Parakeet,Psittacula krameri,,,,,,,,,,,,,,
Nicobar Parakeet,Psittacula caniceps,1,1,,,,,,,,,,,,1
Vernal Hanging-Parrot,Loriculus vernalis,,,,,,,,,,,,,,
Blue-naped Pitta,Hydrornis nipalensis,,,,,,,,,,,,,,
Blue Pitta,Hydrornis cyaneus,,,,,,,,,,,,,,
Indian Pitta,Pitta brachyura,,1,,,,,,,,,,,,
Blue-winged Pitta,Pitta moluccensis,,,,,,,,,,,,,,
Mangrove Pitta,Pitta megarhyncha,,,,,,,,,,,,,,
Hooded Pitta,Pitta sordida,,,,,,,,,,,,,,
Long-tailed Broadbill,Psarisomus dalhousiae,,,,,,,,,,,,,,
Silver-breasted Broadbill,Serilophus lunatus,,,,,,,,,,,,,,
White-bellied Minivet,Pericrocotus erythropygius,1,1,1,,,,,,,,,,,
Small Minivet,Pericrocotus cinnamomeus,,,,,,,,,,,,,,
Gray-chinned Minivet,Pericrocotus solaris,,,,,,,,,,,,,,
Short-billed Minivet,Pericrocotus brevirostris,,,,,,,,,,,,,,
Long-tailed Minivet,Pericrocotus ethologus,,,,,,,,,,,,,,
Orange Minivet,Pericrocotus flammeus,,1,,,,,,,,,,,,
Scarlet Minivet,Pericrocotus speciosus,,,,,,,,,,,,,,
Ashy Minivet,Pericrocotus divaricatus,,,,,,,,,,,,,,
Brown-rumped Minivet,Pericrocotus cantonensis,,,,,,,,,,,,,,
Rosy Minivet,Pericrocotus roseus,,,,,,,,,,,,,,
Large Cuckooshrike,Coracina macei,,,,,,,,,,,,,,
Andaman Cuckooshrike,Coracina dobsoni,1,1,,,,,,,,,,,,1
Pied Triller,Lalage nigra,,,,,,,,,,,,,,
Black-winged Cuckooshrike,Lalage melaschistos,,,,,,,,,,,,,,
Black-headed Cuckooshrike,Lalage melanoptera,,1,,,,,,,,,,,,
Mangrove Whistler,Pachycephala cinerea,,,,,,,,,,,,,,
Black-headed Shrike-Babbler,Pteruthius rufiventer,,,,,,,,,1,1,,,,
Himalayan Shrike-Babbler,Pteruthius ripleyi,,,,,,,,,,1,,,,
Blyth's Shrike-Babbler,Pteruthius aeralatus,,,,,,,,,,,,,,
Green Shrike-Babbler,Pteruthius xanthochlorus,,,,,,,,,,,,,,
Black-eared Shrike-Babbler,Pteruthius melanotis,,,,,,,,,,,,,,
Clicking Shrike-Babbler,Pteruthius intermedius,,,,,,,,,,,,,,
White-bellied Erpornis,Erpornis zantholeuca,,,,,,,,,,,,,,
Maroon Oriole,Oriolus traillii,,,,,,,,,,,,,,
Black-hooded Oriole,Oriolus xanthornus,,,,,,,,,,,,,,
Eurasian Golden Oriole,Oriolus oriolus,,,,,,,,,,,,,,
Indian Golden Oriole,Oriolus kundoo,,,,,,,,,,,,,,
Black-naped Oriole,Oriolus chinensis,,,,,,,,,,,,,,
Slender-billed Oriole,Oriolus tenuirostris,,,,,,,,,,,,,,
White-breasted Woodswallow,Artamus leucorynchus,,,,,,,,,,,,,,
Ashy Woodswallow,Artamus fuscus,,,,,,,,,,,,,,
Bar-winged Flycatcher-shrike,Hemipus picatus,,,,,,,,,,,,,,
Malabar Woodshrike,Tephrodornis sylvicola,1,1,1,1,,,,,,,,,,
Large Woodshrike,Tephrodornis virgatus,,,,,,,,,,,,,,
Common Woodshrike,Tephrodornis pondicerianus,,,,,,,,,,,,,,
Common Iora,Aegithina tiphia,,,,,,,,,,,,,,
White-tailed Iora,Aegithina nigrolutea,,1,,,,,,,,,,,,
Black Drongo,Dicrurus macrocercus,,,,,,,,,,,,,,
Ashy Drongo,Dicrurus leucophaeus,,,,,,,,,,,,,,
White-bellied Drongo,Dicrurus caerulescens,,1,,,,,,,,,,,,
Crow-billed Drongo,Dicrurus annectens,,,,,,,,,,,,,,
Bronzed Drongo,Dicrurus aeneus,,,,,,,,,,,,,,
Lesser Racket-tailed Drongo,Dicrurus remifer,,,,,,,,,,,,,,
Hair-crested Drongo,Dicrurus hottentottus,,,,,,,,,,,,,,
Andaman Drongo,Dicrurus andamanensis,,1,,,,,,,,,,,,1
Greater Racket-tailed Drongo,Dicrurus paradiseus,,,,,,,,,,,,,,
White-browed Fantail,Rhipidura aureola,,,,,,,,,,,,,,
Spot-breasted Fantail,Rhipidura albogularis,1,1,1,,,,,,,,,,,
White-throated Fantail,Rhipidura albicollis,,,,,,,,,,,,,,
Brown Shrike,Lanius cristatus,,,,,,,,,,,,,,
Red-backed Shrike,Lanius collurio,,,,,,,,,,,,,,
Red-tailed Shrike,Lanius phoenicuroides,,,,,,,,,,,,,,
Isabelline Shrike,Lanius isabellinus,,,,,,,,,,,,,,
Burmese Shrike,Lanius collurioides,,,,,,,,,,,,,,
Bay-backed Shrike,Lanius vittatus,,,,,,,,,,,,,,
Long-tailed Shrike,Lanius schach,,,,,,,,,,,,,,
Gray-backed Shrike,Lanius tephronotus,,,,,,,,,,,,,,
Lesser Gray Shrike,Lanius minor,,,,,,,,,,,,,,
Great Gray Shrike,Lanius excubitor,,,,,,,,,,,,,,
Woodchat Shrike,Lanius senator,,,,,,,,,,,,,,
Masked Shrike,Lanius nubicus,,,,,,,,,,,,,,
Rufous Treepie,Dendrocitta vagabunda,,,,,,,,,,,,,,
Gray Treepie,Dendrocitta formosae,,,,,,,,,,,,,,
White-bellied Treepie,Dendrocitta leucogastra,1,1,1,1,,,,,,,,,,
Collared Treepie,Dendrocitta frontalis,,,,,,,,,,,,,,
Andaman Treepie,Dendrocitta bayleii,1,1,,,,,,,,,,,,1
Red-billed Chough,Pyrrhocorax pyrrhocorax,,,,,,,,,,,,,,
Yellow-billed Chough,Pyrrhocorax graculus,,,,,,,,,,,,,,
Yellow-billed Blue-Magpie,Urocissa flavirostris,,,,,,,,,,1,,,,
Red-billed Blue-Magpie,Urocissa erythroryncha,,,,,,,,,,,,,,
Common Green-Magpie,Cissa chinensis,,,,,,,,,,,,,,
Eurasian Jay,Garrulus glandarius,,,,,,,,,,,,,,
Black-headed Jay,Garrulus lanceolatus,,,,,,,,1,,1,,,,
