"Common Name","Scientific Name","Long-term Analysis","Current change Analysis","Subcontinental Endemics","Himalayan/NE Near-Endemics","Significant - Indian Context","Not Relevant - Indian Context","Diurnal","Selected - SOIB"
"Fulvous Whistling Duck","Dendrocygna bicolor","","X","","","X","","X","X"
"Lesser Whistling Duck","Dendrocygna javanica","X","X","","","","","X","X"
"Bar-headed Goose","Anser indicus","X","X","","","X","","X","X"
"Greylag Goose","Anser anser","X","X","","","","","X","X"
"Greater White-fronted Goose","Anser albifrons","","","","","","X","X",""
"Lesser White-fronted Goose","Anser erythropus","","","","","","X","X",""
"Taiga Bean-Goose","Anser fabalis","","","","","","X","X",""
"Tundra Bean-Goose","Anser serrirostris","","","","","","X","X",""
"Red-breasted Goose","Branta ruficollis","","","","","","X","",""
"Mute Swan","Cygnus olor","","","","","","X","X",""
"Tundra Swan","Cygnus columbianus","","","","","","X","",""
"Whooper Swan","Cygnus cygnus","","","","","","X","",""
"Comb Duck","Sarkidiornis melanotos","X","X","","","X","","X","X"
"Ruddy Shelduck","Tadorna ferruginea","X","X","","","","","X","X"
"Common Shelduck","Tadorna tadorna","","","","","","","X",""
"Cotton Teal","Nettapus coromandelianus","X","X","","","","","X","X"
"Mandarin Duck","Aix galericulata","","","","","","X","X",""
"Baikal Teal","Sibirionetta formosa","","","","","","","X",""
"Garganey","Spatula querquedula","X","X","","","","","X","X"
"Northern Shoveler","Spatula clypeata","X","X","","","","","X","X"
"Gadwall","Mareca strepera","X","X","","","","","X","X"
"Falcated Duck","Mareca falcata","","","","","","","X",""
"Eurasian Wigeon","Mareca penelope","X","X","","","","","X","X"
"Indian Spot-billed Duck","Anas poecilorhyncha","X","X","","","","","X","X"
"Chinese Spot-billed Duck","Anas zonorhyncha","","","","","","X","X",""
"Mallard","Anas platyrhynchos","X","X","","","","","X","X"
"Northern Pintail","Anas acuta","X","X","","","","","X","X"
"Common Teal","Anas crecca","X","X","","","","","X","X"
"Andaman Teal","Anas albogularis","","","X","","","","X","X"
"Marbled Teal","Marmaronetta angustirostris","","","","","","","X",""
"Pink-headed Duck","Rhodonessa caryophyllacea","","","","","","X","",""
"White-winged Wood Duck","Asarcornis scutulata","","","","","X","","X","X"
"Red-crested Pochard","Netta rufina","X","X","","","","","X","X"
"Common Pochard","Aythya ferina","X","X","","","","","X","X"
"Ferruginous Duck","Aythya nyroca","X","X","","","","","X","X"
"Baer's Pochard","Aythya baeri","","","","","","","X",""
"Tufted Duck","Aythya fuligula","X","X","","","","","X","X"
"Greater Scaup","Aythya marila","","","","","","","X",""
"Long-tailed Duck","Clangula hyemalis","","","","","","X","",""
"Common Goldeneye","Bucephala clangula","","","","","","X","X",""
"Smew","Mergellus albellus","","","","","","X","X",""
"Common Merganser","Mergus merganser","","X","","","","","X","X"
"Red-breasted Merganser","Mergus serrator","","","","","","X","X",""
"White-headed Duck","Oxyura leucocephala","","","","","","X","",""
"Nicobar Megapode","Megapodius nicobariensis","","","X","","","","X","X"
"Common Hill Partridge","Arborophila torqueola","","X","","X","","","X","X"
"Chestnut-breasted Hill Partridge","Arborophila mandellii","","","X","X","","","X","X"
"Rufous-throated Hill Partridge","Arborophila rufogularis","","","","","X","","X","X"
"White-cheeked Hill Partridge","Arborophila atrogularis","","","","X","","","X","X"
"Indian Peafowl","Pavo cristatus","X","X","X","","","","X","X"
"Green Peafowl","Pavo muticus","","","","","","X","X",""
"Red Spurfowl","Galloperdix spadicea","X","X","X","","","","X","X"
"Painted Spurfowl","Galloperdix lunulata","X","X","X","","","","X","X"
"Grey Peacock Pheasant","Polyplectron bicalcaratum","","","","","","","X",""
"Blue-breasted Quail","Synoicus chinensis","","","","","","","X",""
"Japanese Quail","Coturnix japonica","","","","","","X","",""
"Common Quail","Coturnix coturnix","","","","","","","X",""
"Rain Quail","Coturnix coromandelica","X","X","","","X","","X","X"
"Chukar Partridge","Alectoris chukar","","X","","","","","X","X"
"Tibetan Snowcock","Tetraogallus tibetanus","","","","","","","X",""
"Himalayan Snowcock","Tetraogallus himalayensis","","","","X","","","X","X"
"Jungle Bush Quail","Perdicula asiatica","X","X","X","","","","X","X"
"Rock Bush Quail","Perdicula argoondah","","X","X","","","","X","X"
"Painted Bush Quail","Perdicula erythrorhyncha","","","X","","","","X","X"
"Manipur Bush Quail","Perdicula manipurensis","","","X","","","","X","X"
"Himalayan Quail","Ophrysia superciliosa","","","X","X","","","X","X"
"Black Francolin","Francolinus francolinus","X","X","","","X","","X","X"
"Painted Francolin","Francolinus pictus","","X","X","","","","X","X"
"Chinese Francolin","Francolinus pintadeanus","","","","","","X","X",""
"Grey Francolin","Francolinus pondicerianus","X","X","","","X","","X","X"
"Swamp Francolin","Francolinus gularis","","","X","","","","X","X"
"Mountain Bamboo Partridge","Bambusicola fytchii","","","","","X","","X","X"
"Red Junglefowl","Gallus gallus","X","X","","","","","X","X"
"Grey Junglefowl","Gallus sonneratii","X","X","X","","","","X","X"
"Blood Pheasant","Ithaginis cruentus","","","","","X","","X","X"
"Himalayan Monal","Lophophorus impejanus","","X","","X","","","X","X"
"Sclater's Monal","Lophophorus sclateri","","","","X","","","X","X"
"Snow Partridge","Lerwa lerwa","","","","","X","","X","X"
"Western Tragopan","Tragopan melanocephalus","","","X","X","","","X","X"
"Satyr Tragopan","Tragopan satyra","","","X","X","","","X","X"
"Blyth's Tragopan","Tragopan blythii","","","","X","","","X","X"
"Temminck's Tragopan","Tragopan temminckii","","","","","","","X",""
"Mrs Hume's Pheasant","Syrmaticus humiae","","","","","","X","X",""
"Cheer Pheasant","Catreus wallichii","","","X","X","","","X","X"
"Kalij Pheasant","Lophura leucomelanos","X","X","","","X","","X","X"
"Tibetan Partridge","Perdix hodgsoniae","","","","","","","X",""
"Koklass Pheasant","Pucrasia macrolopha","","","","","X","","X","X"
"Greater Flamingo","Phoenicopterus roseus","X","X","","","X","","X","X"
"Lesser Flamingo","Phoeniconaias minor","","X","","","X","","X","X"
"Little Grebe","Tachybaptus ruficollis","X","X","","","","","X","X"
"Horned Grebe","Podiceps auritus","","","","","","X","X",""
"Red-necked Grebe","Podiceps grisegena","","","","","","X","X",""
"Great Crested Grebe","Podiceps cristatus","X","X","","","","","X","X"
"Black-necked Grebe","Podiceps nigricollis","","","","","","","X",""
"Rock Pigeon","Columba livia","X","X","","","","","X","X"
"Hill Pigeon","Columba rupestris","","X","","","X","","X","X"
"Snow Pigeon","Columba leuconota","","X","","","X","","X","X"
"Yellow-eyed Pigeon","Columba eversmanni","","","","","X","","X","X"
"Common Wood Pigeon","Columba palumbus","","","","","","","X",""
"Speckled Wood Pigeon","Columba hodgsonii","","X","","","X","","X","X"
"Ashy Wood Pigeon","Columba pulchricollis","","","","","X","","X","X"
"Nilgiri Wood Pigeon","Columba elphinstonii","X","X","X","","","","X","X"
"Pale-capped Pigeon","Columba punicea","","","","","X","","X","X"
"Andaman Wood Pigeon","Columba palumboides","","","X","","","","X","X"
"European Turtle Dove","Streptopelia turtur","","","","","","X","X",""
"Oriental Turtle Dove","Streptopelia orientalis","X","X","","","","","X","X"
"Eurasian Collared Dove","Streptopelia decaocto","X","X","","","","","X","X"
"Red Collared Dove","Streptopelia tranquebarica","X","X","","","","","X","X"
"Spotted Dove","Streptopelia chinensis","X","X","","","","","X","X"
"Laughing Dove","Streptopelia senegalensis","X","X","","","","","X","X"
"Barred Cuckoo Dove","Macropygia unchall","","X","","","","","X","X"
"Andaman Cuckoo Dove","Macropygia rufipennis","","","X","","","","X","X"
"Namaqua Dove","Oena capensis","","","","","","X","X",""
"Asian Emerald Dove","Chalcophaps indica","X","X","","","","","X","X"
"Nicobar Pigeon","Caloenas nicobarica","","","","","","","X",""
"Orange-breasted Green Pigeon","Treron bicinctus","","X","","","X","","X","X"
"Grey-fronted Green Pigeon","Treron affinis","X","X","X","","","","X","X"
"Andaman Green Pigeon","Treron chloropterus","","X","X","","","","X","X"
"Ashy-headed Green Pigeon","Treron phayrei","","","","","","","X",""
"Thick-billed Green Pigeon","Treron curvirostra","","","","","","","X",""
"Yellow-legged Green Pigeon","Treron phoenicopterus","X","X","","","X","","X","X"
"Pin-tailed Green Pigeon","Treron apicauda","","X","","","","","X","X"
"Wedge-tailed Green Pigeon","Treron sphenurus","","X","","","","","X","X"
"Green Imperial-Pigeon","Ducula aenea","X","X","","","X","","X","X"
"Nicobar Imperial-Pigeon","Ducula nicobarica","","","X","","","","X","X"
"Mountain Imperial Pigeon","Ducula badia","X","X","","","X","","X","X"
"Pied Imperial Pigeon","Ducula bicolor","","","","","","","X",""
"Tibetan Sandgrouse","Syrrhaptes tibetanus","","","","","X","","X","X"
"Pallas's Sandgrouse","Syrrhaptes paradoxus","","","","","","X","X",""
"Pin-tailed Sandgrouse","Pterocles alchata","","","","","","X","X",""
"Chestnut-bellied Sandgrouse","Pterocles exustus","X","X","","","X","","X","X"
"Spotted Sandgrouse","Pterocles senegallus","","","","","","","X",""
"Black-bellied Sandgrouse","Pterocles orientalis","","","","","","","X",""
"Painted Sandgrouse","Pterocles indicus","","X","X","","","","X","X"
"Great Indian Bustard","Ardeotis nigriceps","","X","X","","","","X","X"
"Macqueen's Bustard","Chlamydotis macqueenii","","","","","","","X",""
"Bengal Florican","Houbaropsis bengalensis","","","","","X","","X","X"
"Lesser Florican","Sypheotides indicus","","","X","","","","X","X"
"Little Bustard","Tetrax tetrax","","","","","","","X",""
"Andaman Coucal","Centropus andamanensis","","X","","","X","","X","X"
"Greater Coucal","Centropus sinensis","X","X","","","X","","X","X"
"Lesser Coucal","Centropus bengalensis","","X","","","X","","X","X"
"Sirkeer Malkoha","Taccocua leschenaultii","X","X","X","","","","X","X"
"Blue-faced Malkoha","Phaenicophaeus viridirostris","X","X","X","","","","X","X"
"Green-billed Malkoha","Phaenicophaeus tristis","X","X","","","","","X","X"
"Chestnut-winged Cuckoo","Clamator coromandus","","","","","","","X",""
"Pied Cuckoo","Clamator jacobinus","X","X","","","X","","X","X"
"Asian Koel","Eudynamys scolopaceus","X","X","","","X","","X","X"
"Asian Emerald Cuckoo","Chrysococcyx maculatus","","","","","","","X",""
"Violet Cuckoo","Chrysococcyx xanthorhynchus","","","","","","","X",""
"Horsfield's Bronze-Cuckoo","Chrysococcyx basalis","","","","","","X","X",""
"Banded Bay Cuckoo","Cacomantis sonneratii","X","X","","","","","X","X"
"Plaintive Cuckoo","Cacomantis merulinus","","X","","","","","X","X"
"Grey-bellied Cuckoo","Cacomantis passerinus","X","X","X","","","","X","X"
"Fork-tailed Drongo Cuckoo","Surniculus dicruroides","","X","","","","","X","X"
"Square-tailed Drongo Cuckoo","Surniculus lugubris","","X","","","","","X","X"
"Large Hawk Cuckoo","Hierococcyx sparverioides","X","X","","","","","X","X"
"Common Hawk Cuckoo","Hierococcyx varius","X","X","X","","","","X","X"
"Whistling Hawk Cuckoo","Hierococcyx nisicolor","","","","","","","X",""
"Lesser Cuckoo","Cuculus poliocephalus","","X","","","","","X","X"
"Indian Cuckoo","Cuculus micropterus","X","X","","","X","","X","X"
"Himalayan Cuckoo","Cuculus saturatus","","X","","","X","","X","X"
"Common Cuckoo","Cuculus canorus","X","X","","","","","X","X"
"Sri Lanka Frogmouth","Batrachostomus moniliger","","","X","","","","",""
"Hodgson's Frogmouth","Batrachostomus hodgsoni","","","","","X","","",""
"Great Eared Nightjar","Lyncornis macrotis","","","","","X","","",""
"Jungle Nightjar","Caprimulgus indicus","","","X","","","","",""
"Grey Nightjar","Caprimulgus jotaka","","","","","","","",""
"European Nightjar","Caprimulgus europaeus","","","","","","X","",""
"Sykes's Nightjar","Caprimulgus mahrattensis","","","","","X","","",""
"Large-tailed Nightjar","Caprimulgus macrurus","","","","","","","",""
"Andaman Nightjar","Caprimulgus andamanicus","","","X","","","","",""
"Jerdon's Nightjar","Caprimulgus atripennis","","","X","","","","",""
"Indian Nightjar","Caprimulgus asiaticus","","","","","X","","",""
"Savanna Nightjar","Caprimulgus affinis","","","","","X","","",""
"White-rumped Spinetail","Zoonavena sylvatica","X","X","X","","","","X","X"
"White-throated Needletail","Hirundapus caudacutus","","","","","","","X",""
"Silver-backed Needletail","Hirundapus cochinchinensis","","","","","","","X",""
"Brown-backed Needletail","Hirundapus giganteus","X","X","","","X","","X","X"
"Glossy Swiftlet","Collocalia esculenta","","X","","","X","","X","X"
"Indian Swiftlet","Aerodramus unicolor","X","X","X","","","","X","X"
"Himalayan Swiftlet","Aerodramus brevirostris","X","X","","","X","","X","X"
"Edible-nest Swiftlet","Aerodramus fuciphagus","","","","","","","X",""
"Alpine Swift","Tachymarptis melba","X","X","","","","","X","X"
"Common Swift","Apus apus","","","","","","","X",""
"Pacific Swift","Apus pacificus","","","","","","X","X",""
"Blyth's Swift","Apus leuconyx","","","","","X","","X","X"
"Dark-rumped Swift","Apus acuticauda","","","","","X","","X","X"
"Indian House Swift","Apus affinis","X","X","","","X","","X","X"
"Nepal House Swift","Apus nipalensis","","","","","","X","X",""
"Asian Palm Swift","Cypsiurus balasiensis","X","X","","","X","","X","X"
"Crested Treeswift","Hemiprocne coronata","X","X","","","X","","X","X"
"Western Water Rail","Rallus aquaticus","","","","","","","X",""
"Eastern Water Rail","Rallus indicus","","","","","","","X",""
"Corncrake","Crex crex","","","","","","X","X",""
"Slaty-breasted Rail","Lewinia striata","","X","","","","","X","X"
"Spotted Crake","Porzana porzana","","","","","","","X",""
"Common Moorhen","Gallinula chloropus","X","X","","","","","X","X"
"Common Coot","Fulica atra","X","X","","","","","X","X"
"Purple Swamphen","Porphyrio porphyrio","X","X","","","","","X","X"
"Watercock","Gallicrex cinerea","","X","","","","","X","X"
"White-breasted Waterhen","Amaurornis phoenicurus","X","X","","","","","X","X"
"White-browed Crake","Amaurornis cinerea","","","","","","X","X",""
"Andaman Crake","Rallina canningi","","","X","","","","X","X"
"Slaty-legged Crake","Rallina eurizonoides","","","","","X","","X","X"
"Ruddy-breasted Crake","Zapornia fusca","","X","","","","","X","X"
"Brown Crake","Zapornia akool","X","X","","","X","","X","X"
"Little Crake","Zapornia parva","","","","","","X","X",""
"Baillon's Crake","Zapornia pusilla","","X","","","X","","X","X"
"Black-tailed Crake","Zapornia bicolor","","","","","X","","X","X"
"Masked Finfoot","Heliopais personatus","","","","","","X","X",""
"Demoiselle Crane","Grus virgo","","X","","","X","","X","X"
"Siberian Crane","Leucogeranus leucogeranus","","","","","","X","",""
"Sarus Crane","Antigone antigone","X","X","","","X","","X","X"
"Common Crane","Grus grus","X","X","","","","","X","X"
"Black-necked Crane","Grus nigricollis","","","","","X","","X","X"
"Indian Thick-knee","Burhinus indicus","X","X","","","X","","X","X"
"Great Thick-knee","Esacus recurvirostris","X","X","","","X","","X","X"
"Beach Thick-knee","Esacus magnirostris","","","","","","X","X",""
"Black-winged Stilt","Himantopus himantopus","X","X","","","","","X","X"
"Pied Avocet","Recurvirostra avosetta","X","X","","","","","X","X"
"Ibisbill","Ibidorhyncha struthersii","","","","","","","X",""
"Eurasian Oystercatcher","Haematopus ostralegus","","X","","","","","X","X"
"Grey Plover","Pluvialis squatarola","X","X","","","","","X","X"
"Eurasian Golden Plover","Pluvialis apricaria","","","","","","X","X",""
"Pacific Golden Plover","Pluvialis fulva","X","X","","","","","X","X"
"Northern Lapwing","Vanellus vanellus","","X","","","","","X","X"
"River Lapwing","Vanellus duvaucelii","X","X","","","","","X","X"
"Yellow-wattled Lapwing","Vanellus malabaricus","X","X","X","","","","X","X"
"Grey-headed Lapwing","Vanellus cinereus","X","X","","","","","X","X"
"Red-wattled Lapwing","Vanellus indicus","X","X","","","","","X","X"
"Sociable Lapwing","Vanellus gregarius","","","","","X","","X","X"
"White-tailed Lapwing","Vanellus leucurus","X","X","","","","","X","X"
"Lesser Sand Plover","Charadrius mongolus","X","X","","","","","X","X"
"Greater Sand Plover","Charadrius leschenaultii","","X","","","","","X","X"
"Caspian Plover","Charadrius asiaticus","","","","","","X","X",""
"Kentish Plover","Charadrius alexandrinus","X","X","","","","","X","X"
"Common Ringed Plover","Charadrius hiaticula","","","","","","","X",""
"Long-billed Plover","Charadrius placidus","","","","","","","X",""
"Little Ringed Plover","Charadrius dubius","X","X","","","","","X","X"
"Oriental Plover","Charadrius veredus","","","","","","X","X",""
"Greater Painted-snipe","Rostratula benghalensis","X","X","","","","","X","X"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus","X","X","","","","","X","X"
"Bronze-winged Jacana","Metopidius indicus","X","X","","","","","X","X"
"Whimbrel","Numenius phaeopus","X","X","","","","","X","X"
"Eurasian Curlew","Numenius arquata","X","X","","","","","X","X"
"Bar-tailed Godwit","Limosa lapponica","","X","","","","","X","X"
"Black-tailed Godwit","Limosa limosa","X","X","","","","","X","X"
"Ruddy Turnstone","Arenaria interpres","","X","","","","","X","X"
"Great Knot","Calidris tenuirostris","","","","","X","","X","X"
"Red Knot","Calidris canutus","","","","","","X","X",""
"Ruff","Calidris pugnax","X","X","","","","","X","X"
"Broad-billed Sandpiper","Calidris falcinellus","","X","","","","","X","X"
"Sharp-tailed Sandpiper","Calidris acuminata","","","","","","X","X",""
"Curlew Sandpiper","Calidris ferruginea","X","X","","","","","X","X"
"Temminck's Stint","Calidris temminckii","X","X","","","","","X","X"
"Long-toed Stint","Calidris subminuta","","","","","","","X",""
"Spoon-billed Sandpiper","Calidris pygmaea","","","","","","X","X",""
"Red-necked Stint","Calidris ruficollis","","","","","","","X",""
"Sanderling","Calidris alba","","X","","","","","X","X"
"Dunlin","Calidris alpina","X","X","","","","","X","X"
"Little Stint","Calidris minuta","X","X","","","","","X","X"
"Buff-breasted Sandpiper","Calidris subruficollis","","","","","","X","X",""
"Pectoral Sandpiper","Calidris melanotos","","","","","","X","X",""
"Asian Dowitcher","Limnodromus semipalmatus","","","","","","X","X",""
"Long-billed Dowitcher","Limnodromus scolopaceus","","","","","","X","X",""
"Jack Snipe","Lymnocryptes minimus","","","","","","","X",""
"Eurasian Woodcock","Scolopax rusticola","","","","","","","X",""
"Solitary Snipe","Gallinago solitaria","","","","","","","X",""
"Wood Snipe","Gallinago nemoricola","","","","","","","X",""
"Great Snipe","Gallinago media","","","","","","X","X",""
"Common Snipe","Gallinago gallinago","X","X","","","","","X","X"
"Pintail Snipe","Gallinago stenura","X","X","","","","","X","X"
"Swinhoe's Snipe","Gallinago megala","","","","","","X","X",""
"Terek Sandpiper","Xenus cinereus","","X","","","","","X","X"
"Red-necked Phalarope","Phalaropus lobatus","","","","","","","X",""
"Red Phalarope","Phalaropus fulicarius","","","","","","X","X",""
"Common Sandpiper","Actitis hypoleucos","X","X","","","","","X","X"
"Green Sandpiper","Tringa ochropus","X","X","","","","","X","X"
"Grey-tailed Tattler","Tringa brevipes","","","","","","X","X",""
"Spotted Redshank","Tringa erythropus","X","X","","","","","X","X"
"Common Greenshank","Tringa nebularia","X","X","","","","","X","X"
"Marsh Sandpiper","Tringa stagnatilis","X","X","","","","","X","X"
"Wood Sandpiper","Tringa glareola","X","X","","","","","X","X"
"Common Redshank","Tringa totanus","X","X","","","","","X","X"
"Small Buttonquail","Turnix sylvaticus","","","","","","","X",""
"Yellow-legged Buttonquail","Turnix tanki","","","","","X","","X","X"
"Barred Buttonquail","Turnix suscitator","X","X","","","","","X","X"
"Crab-plover","Dromas ardeola","","","","","","","X",""
"Cream-coloured Courser","Cursorius cursor","","","","","","","X",""
"Indian Courser","Cursorius coromandelicus","X","X","X","","","","X","X"
"Jerdon's Courser","Rhinoptilus bitorquatus","","","X","","","","","X"
"Collared Pratincole","Glareola pratincola","","","","","","","X",""
"Oriental Pratincole","Glareola maldivarum","","X","","","X","","X","X"
"Little Pratincole","Glareola lactea","X","X","","","","","X","X"
"South Polar Skua","Stercorarius maccormicki","","","","","","X","X",""
"Brown Skua","Stercorarius antarcticus","","","","","","X","X",""
"Pomarine Skua","Stercorarius pomarinus","","","","","","","X",""
"Arctic Skua","Stercorarius parasiticus","","","","","","","X",""
"Long-tailed Skua","Stercorarius longicaudus","","","","","","X","X",""
"Black-legged Kittiwake","Rissa tridactyla","","","","","","X","X",""
"Sabine's Gull","Xema sabini","","","","","","X","X",""
"Slender-billed Gull","Chroicocephalus genei","","X","","","","","X","X"
"Black-headed Gull","Chroicocephalus ridibundus","X","X","","","","","X","X"
"Brown-headed Gull","Chroicocephalus brunnicephalus","X","X","","","","","X","X"
"Little Gull","Hydrocoloeus minutus","","","","","","X","X",""
"Franklin's Gull","Leucophaeus pipixcan","","","","","","X","X",""
"White-eyed Gull","Ichthyaetus leucophthalmus","","","","","","X","X",""
"Sooty Gull","Ichthyaetus hemprichii","","","","","","X","X",""
"Pallas's Gull","Ichthyaetus ichthyaetus","X","X","","","","","X","X"
"Mew Gull","Larus canus","","","","","","X","X",""
"Mongolian Gull","Larus smithsonianus mongolicus","","","","","","X","X",""
"Caspian Gull","Larus cachinnans","","","","","","X","X",""
"Lesser Black-backed Gull","Larus fuscus","X","X","","","","","X","X"
"Brown Noddy","Anous stolidus","","","","","","X","X",""
"Black Noddy","Anous minutus","","","","","","X","X",""
"Lesser Noddy","Anous tenuirostris","","","","","","X","X",""
"White Tern","Gygis alba","","","","","","X","X",""
"Sooty Tern","Onychoprion fuscatus","","","","","","","X",""
"Bridled Tern","Onychoprion anaethetus","","","","","","","X",""
"Little Tern","Sternula albifrons","X","X","","","","","X","X"
"Saunders's Tern","Sternula saundersi","","","","","","","X",""
"Gull-billed Tern","Gelochelidon nilotica","X","X","","","","","X","X"
"Caspian Tern","Hydroprogne caspia","X","X","","","","","X","X"
"Black Tern","Chlidonias niger","","","","","","X","X",""
"White-winged Tern","Chlidonias leucopterus","","","","","","","X",""
"Whiskered Tern","Chlidonias hybrida","X","X","","","","","X","X"
"Roseate Tern","Sterna dougallii","","","","","","X","X",""
"Black-naped Tern","Sterna sumatrana","","","","","","X","X",""
"Common Tern","Sterna hirundo","","X","","","","","X","X"
"Arctic Tern","Sterna paradisaea","","","","","","X","X",""
"Black-bellied Tern","Sterna acuticauda","","","","","X","","X","X"
"River Tern","Sterna aurantia","X","X","","","X","","X","X"
"White-cheeked Tern","Sterna repressa","","","","","","X","X",""
"Greater Crested Tern","Thalasseus bergii","","X","","","","","X","X"
"Sandwich Tern","Thalasseus sandvicensis","","","","","","","X",""
"Lesser Crested Tern","Thalasseus bengalensis","","X","","","","","X","X"
"Indian Skimmer","Rynchops albicollis","","","","","X","","X","X"
"White-tailed Tropicbird","Phaethon lepturus","","","","","","X","X",""
"Red-billed Tropicbird","Phaethon aethereus","","","","","","X","X",""
"Red-tailed Tropicbird","Phaethon rubricauda","","","","","","X","X",""
