species,detprobB,occB,occB.ci,trivB,sampareaB,detprobM,occM,occM.ci,trivM,sampareaM,migstatus
Nicobar Serpent-Eagle,NA,NA,NA,0.0953,238.2723,NA,NA,NA,NA,NA,R
Crested Serpent-Eagle,0.047,111.6602527,0.0905,64.009,238.2723,NA,NA,NA,NA,NA,R
Andaman Serpent-Eagle,0.093,0.4822327,0.0161,0.3678,238.2723,NA,NA,NA,NA,NA,R
Short-toed Snake-Eagle,0.014,110.4266169,0.1203,52.4664,238.2723,NA,NA,NA,NA,NA,R
Crested Hawk-Eagle,0.019,55.3310775,0.0769,30.7056,238.2723,NA,NA,NA,NA,NA,R
Mountain Hawk-Eagle,0.021,13.740104,0.0752,7.4028,238.2723,NA,NA,NA,NA,NA,R
Legge's Hawk-Eagle,0.002,7.0337434,0.067,3,238.2723,NA,NA,NA,NA,NA,R
Rufous-bellied Eagle,0.006,20.2021102,0.0811,10.1574,238.2723,NA,NA,NA,NA,NA,R
Black Eagle,0.021,53.2606119,0.0769,29.7217,238.2723,NA,NA,NA,NA,NA,R
Indian Spotted Eagle,0.007,62.6703614,0.1169,26.0095,238.2723,NA,NA,NA,NA,NA,R
Greater Spotted Eagle,NA,NA,NA,NA,NA,0.011,36.7702154,0.0763,18.82,224.4491,W/P
Booted Eagle,NA,NA,NA,NA,NA,0.011,73.8225536,0.1197,37.7236,238.2723,W/P
Tawny Eagle,0.014,39.7137026,0.0924,17.1211,238.2723,NA,NA,NA,NA,NA,R
Steppe Eagle,NA,NA,NA,NA,NA,0.034,33.4531473,0.0692,19.3389,229.4424,W/P
Imperial Eagle,NA,NA,NA,NA,NA,0.043,8.7487015,0.0764,4.3823,220.7693,W/P
Golden Eagle,0.056,14.7949041,0.0984,8.0928,238.2723,NA,NA,NA,NA,NA,R
Bonelli's Eagle,0.012,81.3053992,0.1159,35.9508,238.2723,NA,NA,NA,NA,NA,R
White-eyed Buzzard,0.023,25.0421073,0.0849,12.2201,149.858,0.028,69.5204337,0.0958,34.99,196.9801,LM
Eurasian Marsh-Harrier,NA,NA,NA,NA,NA,0.022,83.3618926,0.0846,45.4663,232.4067,W/P
Pallid Harrier,NA,NA,NA,NA,NA,0.02,34.4591089,0.0752,18.0043,219.6426,W/P
Montagu's Harrier,NA,NA,NA,NA,NA,0.022,36.187155,0.0754,18.0205,224.4491,W/P
Crested Goshawk,0.011,27.5046184,0.0702,14.9512,238.2723,NA,NA,NA,NA,NA,R
Shikra,0.096,199.115988,0.1056,132.5021,238.2723,NA,NA,NA,NA,NA,R
Nicobar Sparrowhawk,NA,NA,NA,0.0362,238.2723,NA,NA,NA,NA,NA,R
Eurasian Sparrowhawk,0.01,5.7275056,0.1712,1.6203,149.858,0.017,30.9202615,0.0994,13.406,196.9801,LM
Black Kite,0.234,85.7356632,0.0714,57.9447,149.858,0.252,136.8793466,0.0742,96.2867,196.9801,LM
Brahminy Kite,0.163,72.4636135,0.058,50.4955,238.2723,NA,NA,NA,NA,NA,R
Pallas's Fish-Eagle,0.014,0.3929218,0.0632,0.25,149.858,0.062,2.7811234,0.0543,1.5609,196.9801,LM
White-bellied Sea-Eagle,0.054,10.4275665,0.0429,6.3796,238.2723,NA,NA,NA,NA,NA,R
Lesser Fish-Eagle,0.011,8.4537101,0.0477,4.7459,238.2723,NA,NA,NA,NA,NA,R
Gray-headed Fish-Eagle,0.015,12.5170362,0.0662,6.1413,238.2723,NA,NA,NA,NA,NA,R
Common Buzzard,NA,NA,NA,NA,NA,0.011,12.9737997,0.0665,6.7193,220.7693,W/P
Himalayan Buzzard,0.021,22.3276638,0.0921,11.3148,238.2723,NA,NA,NA,NA,NA,R
Long-legged Buzzard,NA,NA,NA,NA,NA,0.056,19.4261537,0.0871,10.4832,219.6426,W/P
Dusky Eagle-Owl,0.007,4.2297294,0.0729,1.5602,238.2723,NA,NA,NA,NA,NA,R
Collared Owlet,0.022,16.0760323,0.0813,8.08,238.2723,NA,NA,NA,NA,NA,R
Asian Barred Owlet,0.065,25.4050583,0.0825,16.1564,238.2723,NA,NA,NA,NA,NA,R
Forest Owlet,0.086,1.3860313,0.0566,0.7847,238.2723,NA,NA,NA,NA,NA,R
Short-eared Owl,NA,NA,NA,NA,NA,0.038,5.9010052,0.0561,3.1985,215.5878,W/P
Malabar Trogon,0.038,12.4064015,0.0396,9.2963,238.2723,NA,NA,NA,NA,NA,R
Red-headed Trogon,0.036,6.2605139,0.0643,3.2006,238.2723,NA,NA,NA,NA,NA,R
Eurasian Hoopoe,0.054,60.2986278,0.0895,33.0421,149.858,0.058,140.3203007,0.118,80.4922,196.9801,LM
Indian Gray Hornbill,0.078,128.2349308,0.0754,80.6751,238.2723,NA,NA,NA,NA,NA,R
Malabar Pied-Hornbill,0.038,16.2263027,0.0454,11.1665,238.2723,NA,NA,NA,NA,NA,R
Oriental Pied-Hornbill,0.058,13.5395232,0.057,8.3206,238.2723,NA,NA,NA,NA,NA,R
Rufous-necked Hornbill,0.053,2.5771953,0.0377,1.4579,238.2723,NA,NA,NA,NA,NA,R
Wreathed Hornbill,0.124,2.9602816,0.0483,1.8966,238.2723,NA,NA,NA,NA,NA,R
Narcondam Hornbill,NA,NA,NA,9.00E-04,238.2723,NA,NA,NA,NA,NA,R
Black-backed Dwarf-Kingfisher,0.049,2.5743137,0.0521,1.5437,149.858,0.013,2.367151,0.0423,1.2796,196.9801,LM
Stork-billed Kingfisher,0.037,43.9132267,0.0648,28.0774,238.2723,NA,NA,NA,NA,NA,R
White-throated Kingfisher,0.267,217.4524156,0.0728,171.4807,238.2723,NA,NA,NA,NA,NA,R
Collared Kingfisher,0.104,2.4319876,0.0385,1.5428,238.2723,NA,NA,NA,NA,NA,R
Crested Kingfisher,0.035,14.8821259,0.0767,9.1299,238.2723,NA,NA,NA,NA,NA,R
Pied Kingfisher,0.038,168.1603404,0.1076,99.0994,238.2723,NA,NA,NA,NA,NA,R
Blue-bearded Bee-eater,0.012,33.210556,0.0688,18.7154,238.2723,NA,NA,NA,NA,NA,R
Green Bee-eater,0.189,203.8150039,0.0697,158.19,238.2723,NA,NA,NA,NA,NA,R
Blue-cheeked Bee-eater,0.007,17.0261635,0.1036,6.5775,238.2723,NA,NA,NA,NA,NA,S
Blue-tailed Bee-eater,0.035,32.7589663,0.0803,16.6523,149.858,0.121,42.6516582,0.0526,30.4761,196.9801,LM
Chestnut-headed Bee-eater,0.05,16.5606139,0.0557,10.2897,149.858,0.061,19.5451513,0.0457,14.0038,196.9801,LM
European Roller,NA,NA,NA,NA,NA,0.024,29.0926785,0.094,13.9573,196.5242,W/P
Indian Roller,0.088,207.0299764,0.0865,146.718,238.2723,NA,NA,NA,NA,NA,R
Dollarbird,0.022,14.0731033,0.0484,8.2869,238.2723,NA,NA,NA,NA,NA,R
Malabar Barbet,0.058,9.4047824,0.0285,8.4346,238.2723,NA,NA,NA,NA,NA,R
Coppersmith Barbet,0.12,173.5050956,0.0826,118.0228,238.2723,NA,NA,NA,NA,NA,R
Blue-eared Barbet,0.015,11.3395071,0.1464,4.2013,238.2723,NA,NA,NA,NA,NA,R
Great Barbet,0.164,23.6447928,0.0521,17.4,238.2723,NA,NA,NA,NA,NA,R
Lineated Barbet,0.085,21.277156,0.0812,13.7867,238.2723,NA,NA,NA,NA,NA,R
Brown-headed Barbet,0.096,79.6592962,0.0675,48.4035,238.2723,NA,NA,NA,NA,NA,R
White-cheeked Barbet,0.303,26.7450526,0.0383,23.3543,238.2723,NA,NA,NA,NA,NA,R
Golden-throated Barbet,0.037,7.5979494,0.072,4.1522,238.2723,NA,NA,NA,NA,NA,R
Blue-throated Barbet,0.136,34.7905128,0.0528,25.0779,238.2723,NA,NA,NA,NA,NA,R
Yellow-rumped Honeyguide,0.012,2.1344391,0.0641,0.9016,238.2723,NA,NA,NA,NA,NA,R
Eurasian Wryneck,NA,NA,NA,NA,NA,0.007,33.4187735,0.1122,13.5846,224.4491,W/P
Speckled Piculet,0.009,29.346036,0.077,14.5561,238.2723,NA,NA,NA,NA,NA,R
White-browed Piculet,0.015,9.1307017,0.1002,3.9155,238.2723,NA,NA,NA,NA,NA,R
Heart-spotted Woodpecker,0.024,13.0650464,0.0377,9.5263,238.2723,NA,NA,NA,NA,NA,R
Gray-capped Woodpecker,0.022,21.2473815,0.105,10.9101,238.2723,NA,NA,NA,NA,NA,R
Brown-fronted Woodpecker,0.079,10.8489991,0.0569,7.3376,238.2723,NA,NA,NA,NA,NA,R
Rufous-bellied Woodpecker,0.039,6.0845652,0.0554,3.7656,238.2723,NA,NA,NA,NA,NA,R
Fulvous-breasted Woodpecker,0.029,31.1787583,0.0921,16.9744,238.2723,NA,NA,NA,NA,NA,R
Himalayan Woodpecker,0.099,10.9933335,0.0568,7.9151,238.2723,NA,NA,NA,NA,NA,R
Bay Woodpecker,0.035,8.0697563,0.1027,4.0013,238.2723,NA,NA,NA,NA,NA,R
Greater Flameback,0.038,42.3094499,0.0638,26.214,238.2723,NA,NA,NA,NA,NA,R
White-naped Woodpecker,0.009,42.205939,0.1112,18.2634,238.2723,NA,NA,NA,NA,NA,R
Rufous Woodpecker,0.02,42.6791611,0.0765,23.8966,238.2723,NA,NA,NA,NA,NA,R
Himalayan Flameback,0.009,8.030183,0.0949,4.0115,238.2723,NA,NA,NA,NA,NA,R
Common Flameback,0.006,7.1736927,0.0593,4.3982,238.2723,NA,NA,NA,NA,NA,R
Black-rumped Flameback,0.106,129.0228849,0.082,81.8504,238.2723,NA,NA,NA,NA,NA,R
Lesser Yellownape,0.017,37.2101378,0.0713,21.2716,238.2723,NA,NA,NA,NA,NA,R
Streak-throated Woodpecker,0.019,28.7923776,0.0663,14.8662,238.2723,NA,NA,NA,NA,NA,R
Scaly-bellied Woodpecker,0.054,12.5802604,0.0552,7.8591,238.2723,NA,NA,NA,NA,NA,R
Gray-headed Woodpecker,0.069,20.2810374,0.0611,13.096,238.2723,NA,NA,NA,NA,NA,R
Greater Yellownape,0.027,14.7875127,0.089,7.8117,238.2723,NA,NA,NA,NA,NA,R
Great Slaty Woodpecker,0.017,3.2734738,0.0729,1.7626,238.2723,NA,NA,NA,NA,NA,R
Andaman Woodpecker,0.118,0.4983798,0.0058,0.3999,238.2723,NA,NA,NA,NA,NA,R
Collared Falconet,0.023,3.4623234,0.0527,2.1378,238.2723,NA,NA,NA,NA,NA,R
Eurasian Kestrel,0.033,19.2621438,0.0756,9.762,149.858,0.041,119.7884977,0.1213,63.7033,196.9801,LM
Red-necked Falcon,0.006,56.3194529,0.1376,20.7534,238.2723,NA,NA,NA,NA,NA,R
Amur Falcon,NA,NA,NA,NA,NA,0.021,8.444595,0.0618,4.4165,205.3286,W/P
Eurasian Hobby,0.013,6.1556504,0.1459,1.625,149.858,0.002,4.7537997,0.2662,1.0248,196.9801,LM
Laggar Falcon,0.03,15.4269267,0.0717,7.4259,238.2723,NA,NA,NA,NA,NA,R
Peregrine Falcon,0.005,17.6740698,0.1479,5.4297,149.858,0.016,49.5885004,0.112,20.7812,196.9801,LM
Alexandrine Parakeet,0.058,101.4961205,0.0817,56.8437,238.2723,NA,NA,NA,NA,NA,R
Rose-ringed Parakeet,0.257,207.7106962,0.0705,158.9364,238.2723,NA,NA,NA,NA,NA,R
Plum-headed Parakeet,0.075,129.602715,0.0773,83.5827,238.2723,NA,NA,NA,NA,NA,R
Malabar Parakeet,0.09,13.1427753,0.0331,10.8951,238.2723,NA,NA,NA,NA,NA,R
Red-breasted Parakeet,0.066,12.1292856,0.0517,7.7192,238.2723,NA,NA,NA,NA,NA,R
Long-tailed Parakeet,0.227,0.6035661,0.0063,0.5176,238.2723,NA,NA,NA,NA,NA,R
Vernal Hanging-Parrot,0.095,22.2023756,0.0393,17.3426,238.2723,NA,NA,NA,NA,NA,R
Long-tailed Broadbill,0.021,9.1781077,0.0543,5.0568,238.2723,NA,NA,NA,NA,NA,R
Blue-naped Pitta,0.007,4.7910551,0.0822,1.7493,238.2723,NA,NA,NA,NA,NA,R
Indian Pitta,0.049,29.7478404,0.0726,16.3362,149.858,0.028,20.5674619,0.0574,13.2353,196.9801,LM
Malabar Woodshrike,0.024,9.0713591,0.0388,7.4128,238.2723,NA,NA,NA,NA,NA,R
Common Woodshrike,0.022,135.046883,0.12,68.4203,238.2723,NA,NA,NA,NA,NA,R
Bar-winged Flycatcher-shrike,0.023,31.1401717,0.0573,19.2938,238.2723,NA,NA,NA,NA,NA,R
Ashy Woodswallow,0.046,65.9098896,0.0722,40.6351,238.2723,NA,NA,NA,NA,NA,R
Common Iora,0.09,149.6794646,0.084,96.3519,238.2723,NA,NA,NA,NA,NA,R
White-tailed Iora,0.022,8.4089944,0.0522,4.558,238.2723,NA,NA,NA,NA,NA,R
White-bellied Minivet,0.013,13.5798551,0.0776,5.9363,238.2723,NA,NA,NA,NA,NA,R
Small Minivet,0.034,137.2461029,0.1019,77.6546,238.2723,NA,NA,NA,NA,NA,R
Short-billed Minivet,0.021,9.6540989,0.0823,4.3928,238.2723,NA,NA,NA,NA,NA,R
Scarlet Minivet,0.06,37.6097964,0.0752,21.7194,238.2723,NA,NA,NA,NA,NA,R
Large Cuckooshrike,0.021,93.3218815,0.0971,48.8046,238.2723,NA,NA,NA,NA,NA,R
Andaman Cuckooshrike,0.03,0.3229396,0.0611,0.1564,238.2723,NA,NA,NA,NA,NA,R
Black-winged Cuckooshrike,0.015,6.8181483,0.4417,2.8152,149.858,0.028,5.9194495,0.0735,3.249,196.9801,LM
Isabelline Shrike,NA,NA,NA,NA,NA,0.028,26.5891049,0.0856,13.6956,219.6426,W/P
Brown Shrike,NA,NA,NA,NA,NA,0.039,85.829809,0.0773,55.9333,232.4067,W/P
Long-tailed Shrike,0.054,55.9634242,0.0919,29.6719,149.858,0.08,139.2423392,0.0938,88.3991,196.9801,LM
Gray-backed Shrike,0.025,3.7548661,0.1733,1.692,149.858,0.072,14.4141362,0.0761,8.9021,196.9801,LM
Great Gray Shrike,0.091,4.2582648,0.0684,2.4363,149.858,0.058,25.137018,0.0801,13.5805,196.9801,LM
Himalayan Shrike-Babbler,0.024,6.0723591,0.065,3.625,238.2723,NA,NA,NA,NA,NA,R
Green Shrike-Babbler,0.008,9.8279927,0.1118,3.2769,238.2723,NA,NA,NA,NA,NA,R
White-bellied Erpornis,0.017,9.9624758,0.0888,4.3977,238.2723,NA,NA,NA,NA,NA,R
Indian Golden Oriole,0.051,65.2435776,0.098,33.5805,149.858,0.117,88.0893546,0.0829,55.7793,196.9801,LM
Black-naped Oriole,NA,NA,NA,NA,NA,0.014,24.229411,0.063,14.0569,235.2944,W/P
Black-hooded Oriole,0.12,97.0631092,0.0629,65.908,238.2723,NA,NA,NA,NA,NA,R
Maroon Oriole,0.037,16.3643836,0.0753,9.4962,238.2723,NA,NA,NA,NA,NA,R
Black Drongo,0.29,224.3541128,0.0691,184.2661,238.2723,NA,NA,NA,NA,NA,R
Ashy Drongo,0.092,23.2820705,0.0627,14.1735,149.858,0.106,79.5223554,0.0744,50.2745,196.9801,LM
White-bellied Drongo,0.03,92.5248591,0.0853,50.8448,238.2723,NA,NA,NA,NA,NA,R
Bronzed Drongo,0.067,45.5279306,0.0576,30.8476,238.2723,NA,NA,NA,NA,NA,R
Hair-crested Drongo,0.056,9.1775274,0.0802,5.6309,149.858,0.049,20.1485475,0.0582,12.2757,196.9801,LM
Greater Racket-tailed Drongo,0.15,51.8895992,0.0532,36.002,238.2723,NA,NA,NA,NA,NA,R
White-throated Fantail,0.077,36.8164245,0.0722,21.8482,238.2723,NA,NA,NA,NA,NA,R
Spot-breasted Fantail,0.049,47.1414759,0.0713,27.1443,238.2723,NA,NA,NA,NA,NA,R
Black-naped Monarch,0.036,79.0816966,0.0797,44.9406,238.2723,NA,NA,NA,NA,NA,R
Indian Paradise-Flycatcher,0.047,54.3050019,0.0884,28.9665,149.858,0.088,57.3904108,0.0736,37.8901,196.9801,LM
Eurasian Jay,0.07,8.1807318,0.0629,4.9215,238.2723,NA,NA,NA,NA,NA,R
Black-headed Jay,0.106,9.0703946,0.0486,6.5263,238.2723,NA,NA,NA,NA,NA,R
Yellow-billed Blue-Magpie,0.135,14.4697577,0.0522,10.4974,238.2723,NA,NA,NA,NA,NA,R
Red-billed Blue-Magpie,0.094,12.1774325,0.051,8.8889,238.2723,NA,NA,NA,NA,NA,R
Common Green-Magpie,0.031,9.0714071,0.0616,5.2343,238.2723,NA,NA,NA,NA,NA,R
Rufous Treepie,0.184,173.6997346,0.0749,122.9956,238.2723,NA,NA,NA,NA,NA,R
Gray Treepie,0.092,23.5397195,0.0673,15.6245,238.2723,NA,NA,NA,NA,NA,R
White-bellied Treepie,0.053,7.3952031,0.0342,5.9684,238.2723,NA,NA,NA,NA,NA,R
Collared Treepie,0.024,2.7854499,0.068,1.4522,238.2723,NA,NA,NA,NA,NA,R
Andaman Treepie,0.097,0.5016529,0.0222,0.3621,238.2723,NA,NA,NA,NA,NA,R
Kashmir Nutcracker,0.027,2.3990613,0.0844,1.0625,238.2723,NA,NA,NA,NA,NA,R
Red-billed Chough,0.089,12.6834785,0.0538,8.5927,238.2723,NA,NA,NA,NA,NA,R
Yellow-billed Chough,0.086,12.6934595,0.0624,8.7003,238.2723,NA,NA,NA,NA,NA,R
House Crow,0.378,217.9789637,0.0623,175.2022,238.2723,NA,NA,NA,NA,NA,R
Large-billed Crow,0.279,203.0057561,0.0745,151.9338,238.2723,NA,NA,NA,NA,NA,R
Rufous-tailed Lark,0.033,91.1214222,0.0813,52.6611,238.2723,NA,NA,NA,NA,NA,R
Ashy-crowned Sparrow-Lark,0.053,135.9619791,0.0792,84.0795,238.2723,NA,NA,NA,NA,NA,R
Singing Bushlark,0.014,16.2293687,0.1035,6.4281,238.2723,NA,NA,NA,NA,NA,R
Bengal Bushlark,0.032,24.9231348,0.0768,12.5074,238.2723,NA,NA,NA,NA,NA,R
Jerdon's Bushlark,0.038,36.0448172,0.0518,24.1085,238.2723,NA,NA,NA,NA,NA,R
Indian Bushlark,0.026,90.1980883,0.0964,44.7478,238.2723,NA,NA,NA,NA,NA,R
Greater Short-toed Lark,NA,NA,NA,NA,NA,0.027,24.8879322,0.0626,13.6274,219.6426,W/P
Sykes's Short-toed Lark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,W/P
Sand Lark,0.018,21.7148919,0.0792,9.4102,238.2723,NA,NA,NA,NA,NA,R
Oriental Skylark,0.011,90.1812672,0.1164,38.781,238.2723,NA,NA,NA,NA,NA,R
Crested Lark,0.034,41.1268596,0.0838,21.6679,238.2723,NA,NA,NA,NA,NA,R
Malabar Lark,0.02,15.8621432,0.0476,10.1148,238.2723,NA,NA,NA,NA,NA,R
Tawny Lark,0.017,31.8654608,0.0879,14.5901,238.2723,NA,NA,NA,NA,NA,R
Gray-throated Martin,0.017,57.5636633,0.0912,28.5836,238.2723,NA,NA,NA,NA,NA,R
Eurasian Crag-Martin,0.1,4.8919561,0.0715,2.6073,149.858,0.022,5.0793896,0.0508,2.7979,196.9801,LM
Dusky Crag-Martin,0.053,104.7196132,0.0839,60.0128,238.2723,NA,NA,NA,NA,NA,R
Barn Swallow,0.036,37.0531179,0.0851,18.9263,149.858,0.145,140.6297803,0.0909,95.9767,196.9801,LM
Wire-tailed Swallow,0.042,151.1085767,0.0923,90.7603,238.2723,NA,NA,NA,NA,NA,R
Hill Swallow,0.023,3.6778123,0.036,2.8749,238.2723,NA,NA,NA,NA,NA,R
Streak-throated Swallow,0.009,111.1713196,0.1301,49.1981,238.2723,NA,NA,NA,NA,NA,R
Yellow-bellied Fairy-Fantail,0.04,19.206559,0.0874,10.8722,238.2723,NA,NA,NA,NA,NA,R
Gray-headed Canary-Flycatcher,0.097,13.125781,0.0516,8.8583,149.858,0.084,48.5507608,0.0682,28.576,196.9801,LM
Yellow-browed Tit,0.02,7.5412618,0.0639,3.9248,238.2723,NA,NA,NA,NA,NA,R
Sultan Tit,0.053,6.5727861,0.0535,3.9553,238.2723,NA,NA,NA,NA,NA,R
Coal Tit,0.111,12.7515261,0.0544,8.7607,238.2723,NA,NA,NA,NA,NA,R
Black-breasted Tit,0.023,9.7508702,0.0927,4.2195,238.2723,NA,NA,NA,NA,NA,R
Rufous-vented Tit,0.03,6.1098471,0.0647,3.2944,238.2723,NA,NA,NA,NA,NA,R
Gray-crested Tit,0.029,6.1604952,0.0628,3.3299,238.2723,NA,NA,NA,NA,NA,R
Green-backed Tit,0.193,18.7528932,0.0498,13.6184,238.2723,NA,NA,NA,NA,NA,R
White-naped Tit,0.025,3.965217,0.0958,1.875,238.2723,NA,NA,NA,NA,NA,R
Himalayan Black-lored Tit,0.065,8.83295,0.0508,6.3441,238.2723,NA,NA,NA,NA,NA,R
Yellow-cheeked Tit,0.045,4.7708227,0.0684,2.6866,238.2723,NA,NA,NA,NA,NA,R
Black-throated Tit,0.125,15.8064995,0.052,11.2707,238.2723,NA,NA,NA,NA,NA,R
White-throated Tit,0.005,6.5860836,0.1444,1.75,238.2723,NA,NA,NA,NA,NA,R
Chestnut-bellied Nuthatch,0.053,18.3112385,0.0697,11.1651,238.2723,NA,NA,NA,NA,NA,R
Kashmir Nuthatch,0.012,1.683626,0.0907,0.625,238.2723,NA,NA,NA,NA,NA,R
White-tailed Nuthatch,0.059,9.9865651,0.0514,6.5584,238.2723,NA,NA,NA,NA,NA,R
White-cheeked Nuthatch,0.014,6.9726756,0.1218,3.0625,238.2723,NA,NA,NA,NA,NA,R
Velvet-fronted Nuthatch,0.04,31.3315673,0.0567,19.9445,238.2723,NA,NA,NA,NA,NA,R
Beautiful Nuthatch,0.028,1.969504,0.0815,0.7512,238.2723,NA,NA,NA,NA,NA,R
Bar-tailed Treecreeper,0.095,13.4192381,0.0546,10.1409,238.2723,NA,NA,NA,NA,NA,R
Rusty-flanked Treecreeper,0.02,4.4864368,0.0828,2.0801,238.2723,NA,NA,NA,NA,NA,R
Indian Spotted Creeper,0.024,3.6107189,0.1024,1.3125,238.2723,NA,NA,NA,NA,NA,R
Eurasian Wren,0.049,13.2408202,0.0633,7.4294,238.2723,NA,NA,NA,NA,NA,R
Brown Dipper,0.048,18.9865742,0.0646,11.2107,238.2723,NA,NA,NA,NA,NA,R
Gray-headed Bulbul,0.023,9.9447993,0.037,7.6495,238.2723,NA,NA,NA,NA,NA,R
Andaman Bulbul,0.223,0.509429,0.0011,0.4542,238.2723,NA,NA,NA,NA,NA,R
Black-crested Bulbul,0.075,23.0347327,0.0655,13.7988,238.2723,NA,NA,NA,NA,NA,R
Striated Bulbul,0.052,6.4852685,0.0679,3.43,238.2723,NA,NA,NA,NA,NA,R
Red-vented Bulbul,0.345,221.7307763,0.0657,183.0695,238.2723,NA,NA,NA,NA,NA,R
Red-whiskered Bulbul,0.221,113.5003724,0.0621,79.6051,238.2723,NA,NA,NA,NA,NA,R
White-eared Bulbul,0.085,34.5009781,0.0665,22.4387,238.2723,NA,NA,NA,NA,NA,R
Yellow-throated Bulbul,0.035,9.3673067,0.0554,5.375,238.2723,NA,NA,NA,NA,NA,R
White-browed Bulbul,0.069,65.0139296,0.0615,44.2574,238.2723,NA,NA,NA,NA,NA,R
