CATEGORY,COMMON.NAME,SCIENTIFIC.NAME,SUBSPECIES.COMMON.NAME,SUBSPECIES.SCIENTIFIC.NAME
spuh,accentor sp.,Prunella sp.,NA,NA
spuh,Accipiter sp.,Accipiter sp.,NA,NA
spuh,Acrocephalus sp.,Acrocephalus sp.,NA,NA
spuh,Aethopyga sp.,Aethopyga sp.,NA,NA
slash,Alexandrine/Rose-ringed Parakeet,Psittacula eupatria/krameri,NA,NA
slash,Alpine/Himalayan Thrush,Zoothera mollissima/salimalii,NA,NA
spuh,Ammomanes sp.,Ammomanes sp.,NA,NA
spuh,Anser sp.,Anser sp.,NA,NA
spuh,Apus sp.,Apus sp.,NA,NA
spuh,Aquila sp.,Aquila sp.,NA,NA
spuh,Arborophila sp.,Arborophila sp.,NA,NA
spuh,Ardea sp.,Ardea sp.,NA,NA
issf,Ashy Bulbul,Hemixos flavala,Ashy Bulbul (Ashy),Hemixos flavala [flavala Group]
issf,Ashy Drongo,Dicrurus leucophaeus,Ashy Drongo (Blackish),Dicrurus leucophaeus [longicaudatus Group]
slash,Ashy/Brown-rumped Minivet,Pericrocotus divaricatus/cantonensis,NA,NA
spuh,asian barbet sp.,Megalaimidae sp.,NA,NA
slash,Asian Barred/Jungle Owlet,Glaucidium cuculoides/radiatum,NA,NA
issf,Asian Fairy-bluebird,Irena puella,Asian Fairy-bluebird (Asian),Irena puella [puella Group]
issf,Asian Pied Starling,Gracupica contra,Asian Pied Starling (Asian),Gracupica contra [contra Group]
spuh,Aythya sp.,Aythya sp.,NA,NA
slash,Baikal/Spotted Bush Warbler,Locustella davidi/thoracica,NA,NA
issf,Baillon's Crake,Zapornia pusilla,Baillon's Crake (Eastern),Zapornia pusilla pusilla
slash,Bank Swallow/Pale Sand Martin,Riparia riparia/diluta,NA,NA
issf,Bar-tailed Godwit,Limosa lapponica,Bar-tailed Godwit (European),Limosa lapponica lapponica
issf,Barn Owl,Tyto alba,Barn Owl (Eurasian),Tyto alba [alba Group]
issf,Barn Swallow,Hirundo rustica,Barn Swallow (Buff-bellied),Hirundo rustica gutturalis/mandschurica
issf,Barn Swallow,Hirundo rustica,Barn Swallow (White-bellied),Hirundo rustica rustica
issf,Bearded Vulture,Gypaetus barbatus,Bearded Vulture (Eurasian),Gypaetus barbatus barbatus
spuh,bee-eater sp.,Merops sp.,NA,NA
spuh,bird sp.,Aves sp.,NA,NA
spuh,Black-bellied Plover/golden-plover sp.,Pluvialis sp.,NA,NA
slash,Black-bellied/River Tern,Sterna acuticauda/aurantia,NA,NA
issf,Black-browed Tit,Aegithalos iouschistos,Black-browed Tit (Black-browed),Aegithalos iouschistos bonvaloti/obscuratus
issf,Black-browed Tit,Aegithalos iouschistos,Black-browed Tit (Rufous-fronted),Aegithalos iouschistos iouschistos
issf,Black-crowned Night-Heron,Nycticorax nycticorax,Black-crowned Night-Heron (Eurasian),Nycticorax nycticorax nycticorax
slash,Black-headed/Brown-headed Gull,Chroicocephalus ridibundus/brunnicephalus,NA,NA
slash,Black-headed/Red-headed Bunting,Emberiza melanocephala/bruniceps,NA,NA
issf,Black-naped Oriole,Oriolus chinensis,Black-naped Oriole (East Asian),Oriolus chinensis diffusus
issf,Black-rumped Flameback,Dinopium benghalense,Black-rumped Flameback (Black-rumped),Dinopium benghalense [benghalense Group]
issf,Black-tailed Godwit,Limosa limosa,Black-tailed Godwit (limosa),Limosa limosa limosa
issf,Black-throated Parrotbill,Suthora nipalensis,Black-throated Parrotbill (Black-throated),Suthora nipalensis nipalensis/crocotius
issf,Black-throated Prinia,Prinia atrogularis,Black-throated Prinia (Black-throated),Prinia atrogularis atrogularis
issf,Black-throated Tit,Aegithalos concinnus,Black-throated Tit (Red-headed),Aegithalos concinnus iredalei
issf,Black-winged Kite,Elanus caeruleus,Black-winged Kite (Asian),Elanus caeruleus [vociferus Group]
issf,Black Bulbul,Hypsipetes leucocephalus,Black Bulbul (leucocephalus Group),Hypsipetes leucocephalus [leucocephalus Group]
issf,Black Kite,Milvus migrans,Black Kite (Black),Milvus migrans [migrans Group]
issf,Black Kite,Milvus migrans,Black Kite (Black-eared),Milvus migrans lineatus/formosanus
issf,Black Redstart,Phoenicurus ochruros,Black Redstart (Eastern),Phoenicurus ochruros [ochruros Group]
slash,Black/Ashy Drongo,Dicrurus macrocercus/leucophaeus,NA,NA
slash,Blue-cheeked/Blue-tailed Bee-eater,Merops persicus/philippinus,NA,NA
issf,Blue-throated Barbet,Psilopogon asiaticus,Blue-throated Barbet (Red-crowned),Psilopogon asiaticus asiaticus
slash,Blue-throated/Tickell's Blue Flycatcher,Cyornis rubeculoides/tickelliae,NA,NA
spuh,blue flycatcher sp.,Cyornis sp.,NA,NA
issf,Blue Rock-Thrush,Monticola solitarius,Blue Rock-Thrush (pandoo),Monticola solitarius pandoo
issf,Blue Rock-Thrush,Monticola solitarius,Blue Rock-Thrush (madoci),Monticola solitarius madoci
issf,Blue Rock-Thrush,Monticola solitarius,Blue Rock-Thrush (solitarius/longirostris),Monticola solitarius solitarius/longirostris
issf,Blue Whistling-Thrush,Myophonus caeruleus,Blue Whistling-Thrush (Yellow-billed),Myophonus caeruleus [flavirostris Group]
issf,Bluethroat,Luscinia svecica,Bluethroat (Red-spotted),Luscinia svecica [svecica Group]
issf,Blyth's Paradise-Flycatcher,Terpsiphone affinis,Blyth's Paradise-Flycatcher (Blyth's),Terpsiphone affinis [affinis Group]
issf,Blyth's Shrike-Babbler,Pteruthius aeralatus,Blyth's Shrike-Babbler (Chestnut-winged),Pteruthius aeralatus validirostris
slash,Blyth's/Indian Paradise-Flycatcher,Terpsiphone affinis/paradisi,NA,NA
slash,Booted/Sykes's Warbler,Iduna caligata/rama,NA,NA
spuh,Brachypodius/Rubigula/Pycnonotus sp.,Brachypodius/Rubigula/Pycnonotus sp.,NA,NA
spuh,Brachypteryx sp.,Brachypteryx sp.,NA,NA
spuh,Bradypterus sp.,Bradypterus sp.,NA,NA
slash,Brown-capped/Gray-capped Woodpecker,Yungipicus nanus/canicapillus,NA,NA
issf,Brown Fish-Owl,Ketupa zeylonensis,Brown Fish-Owl (Eastern),Ketupa zeylonensis [zeylonensis Group]
issf,Brown Shrike,Lanius cristatus,Brown Shrike (Philippine),Lanius cristatus lucionensis
issf,Brown Shrike,Lanius cristatus,Brown Shrike (Japanese),Lanius cristatus superciliosus
issf,Brown Shrike,Lanius cristatus,Brown Shrike (Brown),Lanius cristatus cristatus/confusus
issf,Brownish-flanked Bush Warbler,Horornis fortipes,Brownish-flanked Bush Warbler (Brownish-flanked),Horornis fortipes [fortipes Group]
domestic,Budgerigar (Domestic type),Melopsittacus undulatus (Domestic type),NA,NA
spuh,bush warbler sp.,Horornis sp.,NA,NA
spuh,Buteo sp.,Buteo sp.,NA,NA
spuh,Buteo/eagle sp.,Buteo/eagle sp.,NA,NA
spuh,buttonquail sp.,Turnix sp.,NA,NA
spuh,Cacomantis sp.,Cacomantis sp.,NA,NA
spuh,Calandrella sp.,Calandrella sp.,NA,NA
spuh,Calidris sp.,Calidris sp.,NA,NA
spuh,Caprimulgus sp.,Caprimulgus sp.,NA,NA
issf,Cattle Egret,Bubulcus ibis,Cattle Egret (Eastern),Bubulcus ibis coromandus
spuh,Cettia sp.,Cettia sp.,NA,NA
issf,Chestnut-bellied Sandgrouse,Pterocles exustus,Chestnut-bellied Sandgrouse (Asian),Pterocles exustus hindustan
spuh,Chlidonias sp.,Chlidonias sp.,NA,NA
spuh,Ciconia sp.,Ciconia sp.,NA,NA
spuh,Cinnyris sp.,Cinnyris sp.,NA,NA
spuh,cisticola sp.,Cisticola sp.,NA,NA
issf,Citrine Wagtail,Motacilla citreola,Citrine Wagtail (Black-backed),Motacilla citreola calcarata
issf,Citrine Wagtail,Motacilla citreola,Citrine Wagtail (Gray-backed),Motacilla citreola citreola/werae
issf,Clamorous Reed Warbler,Acrocephalus stentoreus,Clamorous Reed Warbler (Clamorous),Acrocephalus stentoreus stentoreus/levantinus
slash,Clanga/Aquila sp.,Clanga/Aquila sp.,NA,NA
issf,Coal Tit,Periparus ater,Coal Tit (Himalayan),Periparus ater aemodius/rufipectus
issf,Collared Kingfisher,Todiramphus chloris,Collared Kingfisher (Oriental),Todiramphus chloris [humii Group]
slash,Collared/Oriental Pratincole,Glareola pratincola/maldivarum,NA,NA
spuh,Columba sp.,Columba sp.,NA,NA
issf,Common Buzzard,Buteo buteo,Common Buzzard (Steppe),Buteo buteo vulpinus/menetriesi
issf,Common Chiffchaff,Phylloscopus collybita,Common Chiffchaff (Siberian),Phylloscopus collybita tristis
issf,Common Green-Magpie,Cissa chinensis,Common Green-Magpie (Common),Cissa chinensis [chinensis Group]
issf,Common Kingfisher,Alcedo atthis,Common Kingfisher (Common),Alcedo atthis [atthis Group]
issf,Common Merganser,Mergus merganser,Common Merganser (Eurasian),Mergus merganser merganser/orientalis
issf,Common Tern,Sterna hirundo,Common Tern (hirundo/tibetana),Sterna hirundo hirundo/tibetana
slash,Common/Himalayan Buzzard,Buteo buteo/refectus,NA,NA
slash,Common/Himalayan/Eastern Buzzard,Buteo buteo/refectus/japonicus,NA,NA
slash,Common/Jungle Myna,Acridotheres tristis/fuscus,NA,NA
slash,Common/Long-legged Buzzard,Buteo buteo/rufinus,NA,NA
slash,Common/Pin-tailed Snipe,Gallinago gallinago/stenura,NA,NA
slash,Common/Rain Quail,Coturnix coturnix/coromandelica,NA,NA
spuh,coot sp.,Fulica sp.,NA,NA
spuh,Coracina sp.,Coracina sp.,NA,NA
spuh,cormorant sp.,Phalacrocoracidae sp.,NA,NA
spuh,coucal sp.,Centropus sp.,NA,NA
spuh,crane sp.,Gruidae sp.,NA,NA
issf,Crested Serpent-Eagle,Spilornis cheela,Crested Serpent-Eagle (Crested),Spilornis cheela [cheela Group]
slash,Crested Sparrowhawk/Besra,Accipiter trivirgatus/virgatus,NA,NA
issf,Crimson Sunbird,Aethopyga siparaja,Crimson Sunbird (Crimson),Aethopyga siparaja [siparaja Group]
spuh,crow sp.,Corvus sp. (crow sp.),NA,NA
spuh,cuckoo sp. (Cuculidae sp.),Cuculidae sp.,NA,NA
spuh,cuckooshrike sp.,Campephagidae sp.,NA,NA
spuh,Cuculus sp.,Cuculus sp.,NA,NA
spuh,cupwing sp.,Pnoepyga sp.,NA,NA
slash,Curlew Sandpiper/Dunlin,Calidris ferruginea/alpina,NA,NA
spuh,dabbling duck sp.,Anatidae sp. (dabbling duck sp.),NA,NA
spuh,dark swiftlet sp.,Aerodramus sp.,NA,NA
spuh,Dendrocopos sp.,Dendrocopos sp.,NA,NA
spuh,Dicaeum sp.,Dicaeum sp.,NA,NA
spuh,diurnal raptor sp.,Accipitriformes/Falconiformes sp.,NA,NA
domestic,Domestic goose sp. (Domestic type),Anser sp. (Domestic type),NA,NA
spuh,drongo sp.,Dicrurus sp.,NA,NA
spuh,duck sp.,Anatinae sp.,NA,NA
issf,Dunlin,Calidris alpina,Dunlin (alpina),Calidris alpina alpina
slash,Dusky/Naumann's Thrush,Turdus eunomus/naumanni,NA,NA
slash,Dusky/Smoky Warbler,Phylloscopus fuscatus/fuligiventer,NA,NA
spuh,eagle sp.,Accipitridae sp. (eagle sp.),NA,NA
issf,Eastern Marsh-Harrier,Circus spilonotus,Eastern Marsh-Harrier (Eastern),Circus spilonotus spilonotus
issf,Eastern Yellow Wagtail,Motacilla tschutschensis,Eastern Yellow Wagtail (Green-headed),Motacilla tschutschensis taivana
issf,Eastern Yellow Wagtail,Motacilla tschutschensis,Eastern Yellow Wagtail (Eastern),Motacilla tschutschensis tschutschensis/plexa
spuh,Emberiza sp.,Emberiza sp.,NA,NA
spuh,estrildid finch sp.,Estrildidae sp.,NA,NA
issf,Eurasian Collared-Dove,Streptopelia decaocto,Eurasian Collared-Dove (Eurasian),Streptopelia decaocto decaocto
slash,Eurasian Crag-Martin/Rock Martin,Ptyonoprogne rupestris/fuligula,NA,NA
issf,Eurasian Hoopoe,Upupa epops,Eurasian Hoopoe (Eurasian),Upupa epops [epops Group]
issf,Eurasian Kestrel,Falco tinnunculus,Eurasian Kestrel (Eurasian),Falco tinnunculus [tinnunculus Group]
issf,Eurasian Nutcracker,Nucifraga caryocatactes,Eurasian Nutcracker (Southern),Nucifraga caryocatactes [hemispila Group]
issf,Eurasian Wren,Troglodytes troglodytes,Eurasian Wren (Eurasian),Troglodytes troglodytes [troglodytes Group]
spuh,falcon sp.,Falco sp.,NA,NA
spuh,fantail sp.,Rhipidura sp.,NA,NA
hybrid,Ferruginous Duck x Baer's Pochard (hybrid),Aythya nyroca x baeri,NA,NA
slash,Ferruginous Duck/Baer's Pochard,Aythya nyroca/baeri,NA,NA
spuh,Ficedula sp.,Ficedula sp.,NA,NA
spuh,finch sp.,Fringillidae sp.,NA,NA
issf,Fire-breasted Flowerpecker,Dicaeum ignipectus,Fire-breasted Flowerpecker (Fire-breasted),Dicaeum ignipectus [ignipectus Group]
spuh,flameback sp.,Dinopium sp.,NA,NA
spuh,flamingo sp.,Phoenicopteridae sp.,NA,NA
spuh,flowerpecker sp.,Prionochilus/Dicaeum sp.,NA,NA
spuh,fork-tailed swift sp.,Apus pacificus/salimalii/leuconyx/cooki,NA,NA
slash,Fork-tailed/Square-tailed Drongo-Cuckoo,Surniculus dicruroides/lugubris,NA,NA
spuh,forktail sp.,Enicurus sp.,NA,NA
spuh,francolin sp.,Pternistis/Francolinus/Peliperdix/Scleroptila sp.,NA,NA
spuh,frigatebird sp.,Fregata sp.,NA,NA
spuh,Fulvetta sp.,Fulvetta sp.,NA,NA
issf,Gadwall,Mareca strepera,Gadwall (Common),Mareca strepera strepera
hybrid,Gadwall x Eurasian Wigeon (hybrid),Mareca strepera x penelope,NA,NA
slash,Garganey/Green-winged Teal,Spatula querquedula/Anas crecca,NA,NA
spuh,Garrulax sp.,Garrulax sp.,NA,NA
spuh,Glaucidium sp.,Glaucidium sp.,NA,NA
issf,Godlewski's Bunting,Emberiza godlewskii,Godlewski's Bunting (yunnanensis/khamensis),Emberiza godlewskii yunnanensis/khamensis
spuh,godwit sp.,Limosa sp.,NA,NA
spuh,golden-plover sp.,Pluvialis apricaria/dominica/fulva,NA,NA
slash,Golden-spectacled/Whistler's Warbler,Phylloscopus burkii/whistleri,NA,NA
issf,Golden-throated Barbet,Psilopogon franklinii,Golden-throated Barbet (White-eared),Psilopogon franklinii franklinii/ramsayi
spuh,goose sp.,Anser/Branta sp.,NA,NA
issf,Gould's Sunbird,Aethopyga gouldiae,Gould's Sunbird (Yellow-breasted),Aethopyga gouldiae gouldiae/isolata
slash,Gray-bellied/Slaty-bellied Tesia,Tesia cyaniventer/olivea,NA,NA
slash,Gray-crowned/Whistler's Warbler,Phylloscopus tephrocephalus/whistleri,NA,NA
issf,Gray-headed Woodpecker,Picus canus,Gray-headed Woodpecker (Black-naped),Picus canus [guerini Group]
slash,Gray-throated Martin/Bank Swallow,Riparia chinensis/riparia,NA,NA
issf,Gray Heron,Ardea cinerea,Gray Heron (Gray),Ardea cinerea cinerea/jouyi
slash,Gray/Purple Heron,Ardea cinerea/purpurea,NA,NA
issf,Graylag Goose,Anser anser,Graylag Goose (Siberian),Anser anser rubrirostris
domestic,Graylag Goose (Domestic type),Anser anser (Domestic type),NA,NA
hybrid,Graylag x Swan Goose (Domestic type) (hybrid),Anser anser x cygnoides (Domestic type),NA,NA
issf,Great Cormorant,Phalacrocorax carbo,Great Cormorant (Eurasian),Phalacrocorax carbo sinensis/hanedae
issf,Great Egret,Ardea alba,Great Egret (Eurasian),Ardea alba alba
issf,Great Gray Shrike,Lanius excubitor,Great Gray Shrike (Indian),Lanius excubitor lahtora
slash,Great/Intermediate Egret,Ardea alba/intermedia,NA,NA
slash,Great/Oriental/Clamorous Reed Warbler,Acrocephalus arundinaceus/orientalis/stentoreus,NA,NA
issf,Greater Coucal,Centropus sinensis,Greater Coucal (Southern),Centropus sinensis parroti
issf,Greater Coucal,Centropus sinensis,Greater Coucal (Greater),Centropus sinensis [sinensis Group]
issf,Greater Flameback,Chrysocolaptes guttacristatus,Greater Flameback (Greater),Chrysocolaptes guttacristatus [guttacristatus Group]
slash,Greater Short-toed/Hume's Lark,Calandrella brachydactyla/acutirostris,NA,NA
slash,Greater/Lesser Coucal,Centropus sinensis/bengalensis,NA,NA
slash,Greater/Sykes's Short-toed Lark,Calandrella brachydactyla/dukhunensis,NA,NA
spuh,grebe sp.,Podicipedidae sp.,NA,NA
issf,Green-tailed Sunbird,Aethopyga nipalensis,Green-tailed Sunbird (Green-tailed),Aethopyga nipalensis [nipalensis Group]
issf,Green-winged Teal,Anas crecca,Green-winged Teal (Eurasian),Anas crecca crecca/nimia
issf,Green Bee-eater,Merops orientalis,Green Bee-eater (Russet-crowned),Merops orientalis [orientalis Group]
issf,Green Imperial-Pigeon,Ducula aenea,Green Imperial-Pigeon (Green),Ducula aenea [aenea Group]
slash,Green/Greenish Warbler,Phylloscopus nitidus/trochiloides,NA,NA
issf,Greenish Warbler,Phylloscopus trochiloides,Greenish Warbler (viridanus),Phylloscopus trochiloides viridanus
issf,Greenish Warbler,Phylloscopus trochiloides,Greenish Warbler (trochiloides/ludlowi),Phylloscopus trochiloides trochiloides/ludlowi
issf,Gull-billed Tern,Gelochelidon nilotica,Gull-billed Tern (Gull-billed),Gelochelidon nilotica [nilotica Group]
spuh,gull sp.,Larinae sp.,NA,NA
spuh,gull/tern sp.,Laridae sp.,NA,NA
spuh,Gyps sp.,Gyps sp.,NA,NA
issf,Hair-crested Drongo,Dicrurus hottentottus,Hair-crested Drongo (Hair-crested),Dicrurus hottentottus hottentottus/brevirostris
spuh,harrier sp.,Circus sp.,NA,NA
spuh,hawk-cuckoo sp.,Hierococcyx sp.,NA,NA
spuh,hawk sp.,Accipitridae sp. (hawk sp.),NA,NA
domestic,Helmeted Guineafowl (Domestic type),Numida meleagris (Domestic type),NA,NA
spuh,heron sp.,Ardeidae sp.,NA,NA
issf,Herring Gull,Larus argentatus,Herring Gull (Mongolian),Larus argentatus mongolicus
issf,Himalayan Swiftlet,Aerodramus brevirostris,Himalayan Swiftlet (Himalayan),Aerodramus brevirostris brevirostris/innominatus
slash,Himalayan/Chinese Rubythroat (White-tailed Rubythroat),Calliope pectoralis/tschebaiewi,NA,NA
slash,Himalayan/Eurasian Griffon,Gyps himalayensis/fulvus,NA,NA
spuh,Hippolais sp.,Hippolais sp.,NA,NA
spuh,Hirundapus sp.,Hirundapus sp.,NA,NA
slash,Hoary-throated/Streak-throated Barwing,Actinodura nipalensis/waldeni,NA,NA
spuh,hornbill sp.,Bucerotidae sp.,NA,NA
issf,Horned Lark,Eremophila alpestris,Horned Lark (Tibetan),Eremophila alpestris [longirostris Group]
spuh,house-martin sp.,Delichon sp.,NA,NA
spuh,ibis sp.,Threskiornithidae sp. (ibis sp.),NA,NA
spuh,Iduna sp.,Iduna sp.,NA,NA
spuh,Iduna/Hippolais/Acrocephalus sp.,Iduna/Hippolais/Acrocephalus sp.,NA,NA
spuh,imperial-pigeon sp.,Ducula sp.,NA,NA
issf,Indian Blackbird,Turdus simillimus,Indian Blackbird (Black-capped),Turdus simillimus nigropileus/spencei
slash,Indian Golden/Black-naped Oriole,Oriolus kundoo/chinensis,NA,NA
domestic,Indian Peafowl (Domestic type),Pavo cristatus (Domestic type),NA,NA
slash,Indian/Chestnut-bellied Nuthatch,Sitta castanea/cinnamoventris,NA,NA
slash,Indian/Eastern Spot-billed Duck,Anas poecilorhyncha/zonorhyncha,NA,NA
slash,Indian/Greater Spotted Eagle,Clanga hastata/clanga,NA,NA
issf,Intermediate Egret,Ardea intermedia,Intermediate Egret (Intermediate),Ardea intermedia intermedia
issf,Isabelline Shrike,Lanius isabellinus,Isabelline Shrike (Daurian),Lanius isabellinus isabellinus
